AffidavitID,County,CDSCode,School ,Street,City,State,Zip,Telephone,Email ,PublicDistrict,SiteAdministratorSalutation,SiteAdministratorFirstName,SiteAdministratorLastName,SiteAdministratorTitle,SiteAdministratorEmail,Total Enrollment,Religious Classification,Religious Denomination
130829,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,510-428-2606,abbie@auroraschool.org,Oakland Unified,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,126,Non-religious,
130781,Alameda,01611766142459,Averroes Institute,43174 Osgood Road,Fremont,CA,94539,510-423-2052,info@averroesinstitute.com,Fremont Unified,Mrs.,Reem,BIlbeisi,Director,reem@averroesinstitute.com,25,Religious,Islamic
117170,Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,510-268-1500,lobell@bayhillhs.org,Oakland Unified,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,69,Non-religious,
118261,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,510-785-1313,joplin.deborah@gmail.com,Hayward Unified,Mrs.,Deborah,Joplin,Principal,joplin.deborah@gmail.com,31,Religious,Seventh-day Adventist
129416,Alameda,01612596928725,Beacon School,2101 Livingston Street,Oakland,CA,94606,510-436-4466,jcatania@beaconday.org,Oakland Unified,Mrs.,Jan,Stone,Executive Director,jstone@beaconday.org,150,Non-religious,
124802,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,510-843-2512,afhogan@bentleyschool.net,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,315,Non-religious,
130262,Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,510-859-7679,alee@berkeleywaldorf.org,Berkeley Unified School District,Ms.,Audrey,Lee,President,alee@berkeleywaldorf.org,19,Non-religious,
130369,Alameda,01611436972723,Berkwood Hedge,1809 Bancroft Way,Berkeley,CA,94703,510-883-6990,ravi@berkwood.org,Berkeley Unified,Mr.,Ravi,Pursley,Administrator,ravi@berkwood.org,100,,
117923,Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,510-795-1234,fremontbca@yahoo.com,Fremont Unified,Rev.,William,Kintner,Headmaster,pastorkintner@yahoo.com,47,Religious,Not affiliated with any denomination
123063,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,510-577-9100,pshay@bishopodowd.org,Oakland Unified,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,1144,Religious,Roman Catholic
129998,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,510-845-0876,jcarlstroem@blackpinecircle.org,Berkeley Unified,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,264,Non-religious,
130893,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,510-278-2598,fbrauer@calvaryslz.org,San Lorenzo Unified,Mr.,Fred,Brauer,Principal,fbrauer@calvaryslz.org,84,Religious,Lutheran
123380,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,925-455-4250,celebrationacademy.records@gmail.com,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,lihrig@celebrationcc.org,68,Religious,Not affiliated with any denomination
123224,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,510-770-1771,,Newark Unified,Ms.,Isabel,De La Herran,Director,idelaherran@challengerschool.com,43,Non-religious,
123195,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,510-739-0300,,Newark Unified,Mr.,Joseph,Morrison,Headmaster,jmorrison@challengerschool.com,845,Non-religious,
117184,Alameda,01611197094865,Children's Learning Center,2152 Central Avenue,Alameda,CA,94501,510-769-7100,kcoffin@clcalameda.com,Alameda City Unified,Mr.,Kody,Coffin,Other,kcoffin@clcalameda.com,9,Non-religious,
120396,Alameda,01611196979140,Children's Learning Center,1910 Central Avenue,Alameda,CA,94501,510-769-7100,tborrell@clcalameda.com,Alameda City Unified,Dr.,Esther,Cohen,Executive Director,ecohen@clcalameda.com,68,Non-religious,
118482,Alameda,01611196139018,Chinese American Schools - Alameda,1501 Harbor Bay Parkway,Alameda,CA,94502,510-814-7321,info@casalameda.org,Alameda City Unified,Mr.,Robin,Hom,Superintendent,RobinHom@aol.com,67,Non-religious,
118503,Alameda,01611196143754,Chinese Christian High School,1501 Harbor Bay Parkway,Alameda,CA,94502,510-522-0200,info@cchsrams.org,Alameda City Unified,Mr.,Robin,Hom,Superintendent,RobinHom@aol.com,223,Religious,Evangelical
120270,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,510-522-0200,ccsalameda@ccs-rams.org,Alameda City Unified,Dr.,Richard,Porter,Principal,richardporter@ccs-rams.org,162,Religious,Evangelical
119718,Alameda,01613096932800,Chinese Christian Schools–San Leandro,750 Fargo Avenue,San Leandro,CA,94579,510-351-4957,edwardyyue@ccs-rams.org,San Lorenzo Unified,Mr.,Edward,Yue,Principal,edwardyue@ccs-rams.org,263,Religious,Interdenominational
118477,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,510-530-4056,kmurphy@csdo.org,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,271,Religious,Roman Catholic
132133,Alameda,01612596145726,Doulos Academy,152 Taurus Avenue,Oakland,CA,94611,510-601-5222,dstse_jung@yahoo.com,Oakland Unified School District,Rev.,Derek,Jung,Principal,dstse_jung@yahoo.com,6,Religious,Baptist
128119,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,510-729-0330,bbowman@guiceacademy.org,Oakland Unified,Dr.,Barbara,Bowman,Director,bbowman@guiceacademy.org,24,Religious,Baptist
129512,Alameda,01612596143077,E.M. University of Science & Technology,818 27th Street,Oakland,CA,94607,510-595-5543,emuatech@yahoo.com,Oakland Unified,Ms.,Michelle,Taylor,Administrator,emuatech@yahoo.com,6,Non-religious,
131462,Alameda,01611436141709,East Bay School for Boys,2340 Durant Avenue,Berkeley,CA,94707,510-621-3272,info@ebsfb.org,Berkeley Unified,Mr.,Jason,Baeten,Head of School,jasonb@ebsfb.org,82,Non-religious,
128859,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,510-549-3867,contact@eb.org,Berkeley Unified,Mr.,Frederic,Canadas,Head of School,fcanadas@eb.org,469,Non-religious,
129423,Alameda,01612596143101,Elijah's University for Self-Development,818 27th street,Oakland,CA,94607,510-444-2793,elijahuniversity@yahoo.com,Oakland Unified,Mrs.,Billie,Poindexter,Administrator,elijahuniversity@yahoo.com,6,Non-religious,
129853,Alameda,01611926132690,Elmhurst Learning Center,380 Elmhurst Street,Hayward,CA,94544,510-786-1289,pastormare@gmail.com,Hayward Unified,Rev.,Marilyn,Escoto,Principal,pastormare@gmail.com,12,Religious,Baptist
116556,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,510-653-3324,jfulk@ebinternacional.org,Oakland Unified,Mr.,Jon,Fulk,Headmaster,jfulk@ebinternacional.oeg,185,Non-religious,
122149,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,510-482-2244,marsmith@fredfinch.org,Oakland Unified,Ms.,Mar,Smith,Director,marsmith@fredfinch.org,13,Non-religious,
119203,Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,510-744-2249,tmeyer@fremontchristian.com,Fremont Unified,Dr.,Tricia,Meyer,Superintendent,tmeyer@fremontchristian.com,760,Religious,Assembly of God
120178,Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,510-713-2431,info@geniuskidsonline.com,Fremont Unified,Ms.,Rennu,Dhillon,Other,rennud@gmail.com,18,Non-religious,
118513,Alameda,01611436139273,Global Montessori International School,2830 9th Street,Berkeley,CA,94710,510-845-6969,office@gmis-berkeley.com,Berkeley Unified,Ms.,Melissa,Chan,Administrator,office@gmis-berkeley.com,10,Non-religious,
129669,Alameda,01612597071970,Grand Lake Montessori,466 Chetwood Street,Oakland,CA,94610,510-836-4313,nancy@grandlakemontessori.com,Oakland Unified,Mrs.,Helen,Campbell,Head of School,len@grandlakemontessori.com,23,Non-religious,
117431,Alameda,01612597083397,Growing Light Montessori,4700 Lincoln Avenue,Oakland,CA,94602,510-336-9897,glms4u@gmail.com,Oakland Unified,Ms.,Paula,Cancienne,Director,scancienne@gmail.com,22,Non-religious,
116560,Alameda,01751017082761,Hacienda School,3800 Stoneridge Drive,Pleasanton,CA,94588,925-485-5750,jcamara@headsup.org,Pleasanton Unified,Mrs.,Jo Anne,Camara,Director,jcamara@headsup.org,65,Non-religious,
128820,Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,510-531-1300,dmalone@headroyce.org,Oakland Unified,Mr.,Dennis,Malone,Director,dmalone@headroyce.org,876,Non-religious,
125102,Alameda,01751017085970,Hillview Christian Academy,5492 Greenfield Way,Pleasanton,CA,94566,925-461-3210,slcteach@aol.com,Pleasanton Unified,Mr.,Steven,Collard,Administrator,slcteach@aol.com,8,Religious,Not affiliated with any denomination
116876,Alameda,01612596932941,Holy Names High School,4660 Harbord Drive,Oakland,CA,94618,510-450-1110,jhearns@hnhsoakland.org,Oakland Unified,Ms.,Janice,Hearns,Other,jhearns@hnhsoakland.org,170,Religious,Roman Catholic
126596,Alameda,01611766972731,Holy Spirit Elementary,3930 Parish Avenue,Fremont,CA,94536,510-793-3553,holyspiritschool@csdo.org,Fremont Unified,Mr.,Kenneth,Boegel,Principal,kboegel@csdo.org,270,Religious,Roman Catholic
118041,Alameda,01612597072606,Ile Omode,8924 Holly Street,Oakland,CA,94621,510-632-8230,babajahi@ileomode.org,Oakland Unified,Mr.,Jahi,Awakoaiye,Director,babajahi@ileomode.org,59,Non-religious,
121687,Alameda,01611766140461,ILM Academy,4211 Carol Avenue,Fremont,CA,94538,510-936-1572,principal@theilmacademy.com,Fremont Unified,Mrs.,Huma,Bokharey,Administrator,principal@theilmacademy.com,60,Non-religious,
127374,Alameda,01612917092612,International Bible Baptist Academy,15963 Marcella Street,San Leandro,CA,94578,510-276-4222,ibbcoffice@ibbcministries.org,San Lorenzo Unified,Dr.,Hernes,Abante,Administrator,jhabante@aol.com,22,,
130982,Alameda,01613097072218,International Christian School,562 Lewelling Boulevard,San Leandro,CA,94579,510-351-3684,vbeardsley@icseastbay.com,San Lorenzo Unified,Mrs.,Victoria,Beardsley,Administrator,vbeardsley@icseastbay.com,47,Religious,Assembly of God
128007,Alameda,01612596143382,IQRAA Educational Academy & Services,3330 65th Avenue,Oakland,CA,94605,510-577-7903,litnmotion@yahoo.com,OAKLAND UNIFIED,Mrs.,Khariyyah,Muhammad-Bradshaw,Executive Director,,26,Non-religious,
118237,Alameda,01612597099518,Julia Morgan School for Girls,5000 MacArthur Boulevard,Oakland,CA,94613,510-632-6000,lrothermel@juliamorganschool.org,Oakland Unified,Ms.,Sandra,Luna,Head of School,sluna@juliamorganschool.org,190,Non-religious,
126591,Alameda,01611766922389,Kimber Hills Academy,39700 Mission Boulevard,Fremont,CA,94539,510-651-5437,tsevilla@gofcc.org,Fremont Unified,Mrs.,Tina,Sevilla,Other,tsevilla@gofcc.org,179,Religious,Other
118608,Alameda,01100176141212,Kingdom builder christian private school,548 W Tennyson Road,Hayward,CA,94544,510-258-3198,saraiagency@yahoo.com,Fremont Unified,Ms.,Marjorie,Robinson,Administrator,divaenterprise@yahoo.com,6,Religious,Pentecostal
121410,Alameda,01611927003304,Lea's Christian,26236 Adrian Avenue,Hayward,CA,94545,510-785-2477,mrsbland@leaschristianschool.org,Hayward Unified,Mrs.,Melva,Bland,Administrator,mrsbland@leaschristianschool.org,56,Religious,Not affiliated with any denomination
116914,Alameda,01751017098585,Lighthouse Baptist School,118 Neal Street,Pleasanton,CA,94566,925-846-7220,secretary@atthelighthouse.com,Pleasanton Unified,Mr.,Christopher,Rule,Administrator,chris.rule@lbceastbay.com,33,Religious,Baptist
117141,Alameda,01612597032485,Lincoln Child Center,4368 Lincoln Avenue,Oakland,CA,94602,510-531-3111,minjonlenoir@lincolnchildcenter.org,Oakland Unified,Mrs.,Minjon,LeNoir-Irwin,Director,minjonlenoir@lincolnchildcenter.org,36,Non-religious,
130391,Alameda,01612596144950,Mentoring Academy,5951 College Avenue,Oakland,CA,94618,510-926-1133,johnmuster@mentoringacademy.org,Oakland Unified,Dr.,John,Muster,Director,johnmuster@mentoringacademy.org,7,Non-religious,
117414,Alameda,01612596906549,Mills College Children's School,5000 MacArthur Boulevard,Oakland,CA,94613,510-430-2118,children@mills.edu,Oakland Unified,Ms.,Debra,Brown,Head of School,msbrown@mills.edu,54,Non-religious,
118618,Alameda,01611766976013,Mission Hills Christian School,225 Driscoll Road,Fremont,CA,94539,510-490-7709,admin@missionhillschristian.com,Fremont Unified,Mrs.,Heidi,Jorgenson,Principal,admin@missionhillschristian.com,10,Religious,Seventh-day Adventist
122206,Alameda,01612426138648,Mission Hills Middle School,250 Tamarack Drive,Union City,CA,94587,510-493-2189,ferishta@pacbell.net,New Haven Unified School District,Mrs.,Ferishta,Kulaly,Administrator,fkulaly@mhmschool.org,214,,
117493,Alameda,01611927103286,Montessori Children's House of Hayward,166 West Harder Road,Hayward,CA,94544,510-782-4427,jgilmanmch@aol.com,Hayward Unified,Ms.,Jo,Eckerley,Director,,55,Non-religious,
119675,Alameda,01611926933006,Moreau Catholic High School,27170 Mission Boulevard,Hayward,CA,94544,510-881-4300,llek@moreaucatholic.org,Hayward Unified,Mrs.,Lauren,Lek,Principal,llek@moreaucatholic.org,896,Religious,Roman Catholic
128675,Alameda,01612597098106,Muhammad University of Islam,5277 Foothill Boulevard,Oakland,CA,94601,510-436-0206,muhammaduniversity@sbcglobal.net,Oakland Unified,Mrs.,salamah,muhammad,Administrator,muhammaduniversity@sbcglobal.net,41,Religious,Islamic
117925,Alameda,01611767047236,New Horizons,2550 Peralta Boulevard,Fremont,CA,94536,510-791-5683,dhwl@comcast.net,Fremont Unified,Ms.,Kathryn,Liu,President,dhwl@comcast.net,250,Non-religious,
122321,Alameda,01612597054018,Northern Light School,3710 Dorisa Avenue,Oakland,CA,94605,510-957-0570,kisles@northernlightschool.com,Oakland Unified,Ms.,Kaamil,Bey,Administrator,kisles@northernlightschool.com,149,Non-religious,
129600,Alameda,01612426200877,Northstar School,725 Whipple Road,Union City,CA,94587,510-441-1665,info@northstarschool.org,New Haven Unified,Mrs.,Salwa,Abed,Principal,salwa@northstarschool.org,126,Religious,Islamic
128937,Alameda,01612597081524,Oakland Hebrew Day,5500 Redwood Road,Oakland,CA,94619,510-531-8600,office@ohds.org,Oakland Unified,Rabbi,Ari,Leubitz,Head of School,aleubitz@ohds.org,172,Religious,Jewish
132321,Alameda,01611766145940,Olive Prep School,43531 Mission Boulevard,Fremont,CA,94539,510-770-8708,info@olivechildren.com,Fremont Unified,Ms.,Phoebe,Jen,Administrator,info@olivechildren.com,6,Non-religious,
118221,Alameda,01611506970651,Our Lady of Grace School,3427 Somerset Avenue,Castro Valley,CA,94546,510-581-3155,rbrusco@csdo.org,Castro Valley Unified,Mr.,Ryan,Brusco,Principal,rbrusco@csdo.org,225,Religious,Roman Catholic
117224,Alameda,01611766970628,Our Lady of Guadalupe,40374 Fremont Boulevard,Fremont,CA,94538,510-657-1674,lparini@csdo.org,Fremont Unified,Mrs.,Linda,Parini,Principal,lparini@csdo.org,230,Religious,Roman Catholic
116739,Alameda,01612426977862,Our Lady of the Rosary,678 B Street,Union City,CA,94587,510-471-3765,ggalarsa@csdo.org,New Haven Unified,Mrs.,Gloria,Galarsa,Principal,ggalarsa@csdo.org,136,Religious,Roman Catholic
129401,Alameda,01612006995583,Our Savior Lutheran,1385 South Livermore Avenue,Livermore,CA,94550,925-447-1246,jmejia@oslm.net,Livermore Valley Joint Unified,Mr.,Jorge,Mejia,Principal,jmejia@oslm.net,166,Religious,Lutheran
122410,Alameda,01612596205629,Pacific Boychoir Academy,215 Ridgeway Avenue,Oakland,CA,94611,510-652-4722,admin@pacificboychoiracademy.org,Oakland Unified,Mr.,John,Lynch,Other,johnl@pacificboychoiracademy.org,58,Non-religious,
130545,Alameda,01612596998470,Park Day,360 42nd Street,Oakland,CA,94609,510-653-0317,tom.little@parkdayschool.org,Oakland Unified,Mr.,Tom,Little,Head of School,tom.little@parkdayschool.org,297,Non-religious,
118210,Alameda,01612596933022,Patten Academy of Christian Education,2433 Coolidge Avenue,Oakland,CA,94601,510-533-3121,sharon.anderson@patten.edu,Oakland Unified,Dr.,Sharon,Anderson,Principal,sharon.anderson@patten.edu,117,Religious,Evangelical
130539,Alameda,01611767100902,Peace Terrace Academy,4210 Technology Drive,Fremont,CA,94555,510-477-9946,schoolcomm@peaceterrace.org,Fremont Unified,Mrs.,Muneiza,Ahsan,Administrator,admin@peaceterrace.org,104,Religious,Islamic
129573,Alameda,01611766967483,Prince of Peace Lutheran School,38451 Fremont Boulevard,Fremont,CA,94536,510-797-8186,ddueck@popfremont.org,Fremont Unified,Mr.,Dan,Dueck,Head of School,ddueck@popfremont.org,251,Religious,Lutheran
119847,Alameda,01612917072317,Principled Academy The,2305 Washington Avenue,San Leandro,CA,94577,510-351-6400,tpacademy2000@yahoo.com,San Leandro Unified,Mrs.,Kristina,Seher,Head of School,kristinaseher@hotmail.com,105,Religious,Not affiliated with any denomination
120322,Alameda,01612427096225,Purple Lotus Buddhist School,33615 9th Street,Union City,CA,94587,510-429-8808,admin.office@purplelotusschool.org,New Haven Unified,Mr.,Albert,Tsang,Other,albert.tsang@purplelotusschool.org,32,Religious,Other
123175,Alameda,01750937103989,Quarry Lane School The,6363 Tassajara Road,Dublin,CA,94568,925-829-8000,sarac@quarrylane.org,Dublin Unified,Dr.,Sabri,Arac,Head of School,sarac@quarrylane.org,501,Non-religious,
121644,Alameda,01612596994727,Raskob Learning Institute and Day School,3520 Mountain Boulevard,Oakland,CA,94619,510-436-1275,raskobinstitute@hnu.edu,Oakland Unified,Ms.,Edith,Ben Ari,Executive Director,benari@hnu.edu,73,Non-religious,
119648,Alameda,01611506913131,Redwood Christian Elementary,19300 Redwood Road,Castro Valley,CA,94546,510-537-4288,brucejohnson@rcs.edu,Castro Valley Unified,Mr.,Mike,Kady,Principal,mikekady@rcs.edu,251,Religious,Not affiliated with any denomination
119661,Alameda,01613096998488,Redwood Christian Middle School and High School,1000 Paseo Grande,San Lorenzo,CA,94580,510-317-8990,brucejohnson@rcs.edu,San Lorenzo Unified,Mr.,Al,Hearne,Principal,alhearne@rcs.edu,413,Religious,Not affiliated with any denomination
119083,Alameda,01612596995542,Redwood Day School,3245 Sheffield Avenue,Oakland,CA,94602,510-534-0800,nsalaam@rdschool.org,Oakland Unified,Mr.,Naeem,Salaam,Other,nsalaam@rdschool.org,347,Non-religious,
117134,Alameda,01611196922470,Rising Star Montessori School,1421 High Street,Alameda,CA,94501,510-865-4536,rssmont@aol.com,Alameda City Unified,Ms.,Ann,Gavey,Head of School,rssmont@aol.com,47,Non-religious,
128992,Alameda,01612596933121,Saint Elizabeth High,1530 34th Avenue,Oakland,CA,94601,510-532-8947,mprocaccio@stliz-hs.org,Oakland Unified,Mr.,Martin,Procaccio,President,mprocaccio@stliz-hs.org,145,Religious,Roman Catholic
122865,Alameda,01612596972962,Saint Jarlath School,2634 Pleasant Street,Oakland,CA,94602,510-532-4387,rpierre-antoine@csdo.org,Oakland Unified,Mr.,Rodney,Pierre-Antoine,Principal,rpierre-antoine@csdo.org,97,Religious,Roman Catholic
122302,Alameda,01612596973010,Saint Leo the Great School,4238 Howe Street,Oakland,CA,94611,510-654-7828,ssimril@csdo.org,Oakland Unified,Mrs.,sonya,simril,Principal,ssimril@csdo.org,215,Religious,Roman Catholic
126594,Alameda,01611436933162,Saint Mary's College High School,1294 Albina Avenue,Berkeley,CA,94706,510-526-9242,pimperial@stmchs.org,Berkeley,Dr.,Peter,Imperial,Principal,pimperial@stmchs.org,629,Religious,Roman Catholic
120432,Alameda,01612596994107,Saint Vincent's Day Home Inc.,1086 Eighth street,Oakland,CA,94607,510-832-8324,info@svdh.org,Oakland Unified,Ms.,Corinne,Mohrmann,Executive Director,cmohrmann@svdh.org,28,Non-religious,
118105,Alameda,01611436973085,School of the Madeleine,1225 Milvia Street,Berkeley,CA,94709,510-526-4744,kwillers@csdo.org,Berkeley Unified,Mr.,Kenneth,Willers,Principal,kwillers@themadeleine.com,317,Religious,Roman Catholic
128386,Alameda,01612596140131,Seneca Family of Agencies - Building Blocks,2370 Grande Vista Place,Oakland,CA,94601,510-434-7990,Linzy_gustafson@senecacenter.org,Oakland Unified,Ms.,Laura,Sprinson,Director,laura_sprinson@senecacenter.org,7,Non-religious,
128402,Alameda,01613097035512,Seneca Family of Agencies - James Baldwin Academy,2275 Arlington Drive,San Leandro,CA,94578,510-481-1222,linzy_gustafson@senecacenter.org,San Lorenzo Unified,Mr.,Kevin,King,Director,kevin_king@senecacenter.org,105,Non-religious,
128404,Alameda,01611767077548,Seneca Family of Agencies - Pathfinder Academy,40950 Chapel Way,Fremont,CA,94538,510-226-6180,linzy_Gustafson@senecacenter.org,Fremont Unified,Ms.,Kari,O'Connor,Director,kari_oconnor@senecacenter.org,57,Non-religious,
129225,Alameda,01613096131239,Shining Light Christian Academy,17315 Via Frances,San Lorenzo,CA,94580,510-566-4050,eliana@slcasecure.org,San Lorenzo Unified,Mrs.,Eliana,Martinez,Director,eliana@slcasecure.org,6,Religious,Other
118215,Alameda,01611436139620,Shu Ren International School,1333 University Avenue,Berkeley,CA,94702,510-981-0320,info@shurenschool.org,Berkeley Unified,Mr.,Nathan,Pope,Head of School,nathan.pope@shurenschool.org,31,Non-religious,
127916,Alameda,01612007081383,Sonrise Christian Academy,7640 National Drive,Livermore,CA,94550,925-315-7333,argyl@sonriseisp.com,Livermore Valley Joint Unified,Mr.,Argyl,Dickson,Administrator,argyl@sonriseisp.com,12,Religious,Not affiliated with any denomination
127850,Alameda,01612596904452,St. Andrew M.B.C. Private P. C. P. C.,2624 West Street,Oakland,CA,94612,510-465-8023,saintambcpstu@yahoo.com,Oakland Unified,Rev.,Robert,Lacy,President,saintambcpstu@yahoo.com,21,Religious,Baptist
120289,Alameda,01612596967517,St. Anthony School,1500 East 15th Street,Oakland,CA,94606,510-534-3334,bflannery@csdo.org,Oakland Unified,Sr.,Barbara,Flannery,Principal,bflannery@csdo.org,197,Religious,Roman Catholic
118108,Alameda,01611926972871,St. Bede Catholic School,26910 Patrick Avenue,Hayward,CA,94544,510-782-3444,kolague@csdo.org,Hayward Unified,Mrs.,Antoinette,Cosentino,Principal,tcosentino@csdo.org,214,Religious,Roman Catholic
129011,Alameda,01611926965917,St. Clement Catholic,790 Calhoun Street,Hayward,CA,94544,510-538-5885,ahernandez@csdo.org,Hayward Unified,Mrs.,Ana,Hernandez-Cortez,Principal,ahernandez@csdo.org,262,Religious,Roman Catholic
119154,Alameda,01612346972921,St. Edward Parish,5788 Thornton Avenue,Newark,CA,94560,510-793-7242,gfonzeno@stedwardnewark.org,Newark Unified,Mr.,Gregory,Fonzeno,Principal,gfonzeno@stedwardnewark.org,286,Religious,Roman Catholic
122102,Alameda,01612596972939,St. Elizabeth Elementary,1516 33rd Avenue,Oakland,CA,94601,510-532-7392,kmcavoy@saintelizabeth.us,Oakland Unified,Sr.,Kathleen,McAvoy,Principal,kmcavoy@saintelizabeth.us,322,Religious,Roman Catholic
124838,Alameda,01613096972947,St. Felicitas Catholic School,1650 Manor Boulevard,San Leandro,CA,94579,510-357-2530,lzipp@csdo.org,San Lorenzo Unified,Mrs.,Meghan,Jorgensen,Principal,mjorgensen@csdo.org,277,Religious,Roman Catholic
122099,Alameda,01611926972970,St. Joachim's Elementary,21250 Hesperian Boulevard,Hayward,CA,94541,510-783-3177,aseishas@csdo.org,Hayward Unified,Mr.,Armond,Seishas,Principal,aseishas@csdo.org,313,Religious,Roman Catholic
119121,Alameda,01613096970602,St. John Elementary,270 East Lewelling Boulevard,San Lorenzo,CA,94580,510-276-6632,aschwartz@csdo.org,San Lorenzo Unified,Mr.,Alyssia,Schwartz,Principal,aschwartz@csdo.org,249,Religious,Roman Catholic
117053,Alameda,01611766972996,St. Joseph Elementary,43222 Mission Boulevard,Fremont,CA,94539,510-656-6525,jcooper@sjsmsj.org,Fremont Unified,Mrs.,Janice,Cooper,Principal,jcooper@sjsmsj.org,280,Religious,Roman Catholic
122898,Alameda,01611196965891,St. Joseph Elementary,1910 San Antonio Avenue,Alameda,CA,94501,510-522-4456,cfoley@csdo.org,Alameda City Unified,Ms.,Monica,O'Callaghan,Principal,mocallaghan@csdo.org,274,Religious,Roman Catholic
