County,CDSCode,School ,Street,City,State,Zip,Telephone,PublicDistrict
Alameda,01611766909840,Fremont Christian School,4760 Thornton Avenue,Fremont,CA,94536,510-744-2267,Fremont Unified
Alameda,01611766139778,Genius Kids Inc,4966 Paseo Padre Parkway,Fremont,CA,94555,510-713-2431,Fremont Unified
Alameda,01611436139273,Global Montessori International School,2830 9th Street,Berkeley,CA,94710,510-845-6969,Berkeley Unified
Alameda,01612597071970,Grand Lake Montessori,466 Chetwood Street,Oakland,CA,94610,510-836-4313,Oakland Unified
Alameda,01612597083397,Growing Light Montessori,4700 Lincoln Avenue,Oakland,CA,94602,510-336-9897,Oakland Unified
Alameda,01751017082761,Hacienda School,3800 Stoneridge Drive,Pleasanton,CA,94588,925-485-5750,Pleasanton Unified
Alameda,01612596932925,Head-Royce School,4315 Lincoln Avenue,Oakland,CA,94602,510-531-1300,Oakland Unified
Alameda,01751017085970,Hillview Christian Academy,5492 Greenfield Way,Pleasanton,CA,94566,925-461-3210,Pleasanton Unified
Alameda,01612596932941,Holy Names High School,4660 Harbord Drive,Oakland,CA,94618,510-450-1110,Oakland Unified
Alameda,01611766972731,Holy Spirit Elementary,3930 Parish Avenue,Fremont,CA,94536,510-793-3553,Fremont Unified
Alameda,01612596143382,I.Q.R.A.A.EDUCATIONAL ACADEMY& SERVICES,3330 65th Avenue,Oakland,CA,94605,510-577-7903,OAKLAND UNIFIED
Alameda,01611766140461,ILM Academy,4211 Carol Avenue,Fremont,CA,94538,510-936-1572,Fremont Unified
Alameda,01612917092612,International Bible Baptist Academy,15963 Marcella Street,San Leandro,CA,94578,510-276-4222,San Lorenzo Unified
Alameda,01613097072218,International Christian School,562 Lewelling Boulevard,San Leandro,CA,94579,510-351-3684,san Lorenzo Unified
Alameda,01612597099518,Julia Morgan School for Girls,5000 MacArthur Boulevard,Oakland,CA,94613,510-632-6000,Oakland Unified
Alameda,01611766922389,Kimber Hills Academy,39700 Mission Boulevard,Fremont,CA,94539,510-651-5437,Fremont Unified
Alameda,01100176141212,Kingdom builder christian private school,27300 Patrick Avenue A,Hayward,CA,94544,510-258-3198,Alameda County Office of Education
Alameda,01611927003304,Lea's Christian,26236 Adrian Avenue,Hayward,CA,94545,510-785-2477,Hayward Unified
Alameda,01751017098585,Lighthouse Baptist School,118 Neal Street,Pleasanton,CA,94566,925-846-7220,Pleasanton Unified
Alameda,01612426138648,Mission Hills Middle School,250 Tamarack Drive,Union City,CA,94587,510-493-2189,New Haven Unified School District
Alameda,01611927103286,Montessori Children's House of Hayward,166 West Harder Road,Hayward,CA,94544,510-782-4427,Hayward Unified School District
Alameda,,Montessori School of Centerville,4209 Baine Avenue,Fremont,CA,94536,510-797-3634,Fremont Unified
Alameda,01611926933006,Moreau Catholic High School,27170 Mission Boulevard,Hayward,CA,94544,510-881-4300,Hayward Unified
Alameda,,Muhammad Institute of Islam,2961 Georgia Street,Oakland,Ca,94602,510-395-2449,Oakland Unified
Alameda,01612597098106,Muhammad University of Islam,5277 Foothill Boulevard,Oakland,CA,94601,510-436-0206,Oakland
Alameda,01611767047236,New Horizons,2550 Peralta Boulevard,Fremont,CA,94536,510-791-5683,Fremont Unified
Alameda,01612597054018,Northern Light School,3710 Dorisa Avenue,Oakland,CA,94605,510-957-0570,Oakland
Alameda,01612426200877,Northstar School,725 Whipple Road,Union City,CA,94587,510-441-1665,New Haven Unified
Alameda,01612597081524,Oakland Hebrew Day,5500 Redwood Road,Oakland,CA,94619,510-531-8600,Oakland Unified
Alameda,01611506970651,Our Lady of Grace School,3427 Somerset Avenue,Castro Valley,CA,94546,510-581-3155,Castro Valley Unified
Alameda,01611766970628,Our Lady of Guadalupe,40374 Fremont Boulevard,Fremont,CA,94538,510-657-1674,Fremont Unified
Alameda,01612426977862,Our Lady of the Rosary,678 B Street,Union City,CA,94587,510-471-3765,New Haven Unified
Alameda,01612006995583,Our Savior Lutheran,1385 South Livermore Avenue,Livermore,CA,94550,925-447-1246,Livermore Valley Joint Unified
Alameda,01612596205629,Pacific Boychoir Academy,215 Ridgeway Avenue,Oakland,CA,94611,510-652-4722,Oakland Unified
Alameda,01612596933022,Patten Academy of Christian Education,2430 Coolidge Avenue,Oakland,CA,94601,510-533-3121,Oakland Unified
Alameda,01611767100902,Peace Terrace Academy,33330 Peace Terrace,Fremont,CA,94555,510-477-9946,Fremont
Alameda,01612596933030,Pentecostal Way of Truth School Academy,1575 7th Street,Oakland,CA,94607,510-625-2002,Oakland Unified
Alameda,01611766967483,Prince of Peace Lutheran School,38451 Fremont Boulevard,Fremont,CA,94536,510-797-8186,Fremont Unified
Alameda,01612917072317,Principled Academy The,2305 Washington Avenue,San Leandro,CA,94577,510-351-6400,San Leandro Unified
Alameda,01612427096225,Purple Lotus Buddhist School,33615 9th Street,Union City,CA,94587,510-429-8808,New Haven Unified
Alameda,,Quantum Camp,2176 Shattuck Avenue,Berkeley,CA,94704,650-429-8527,Berkeley Unified
Alameda,01750937103989,Quarry Lane School The,6363 Tassajara Road,Dublin,CA,94568,925-829-8000,Dublin Unified
Alameda,01612596994727,Raskob Learning Institute and Day School,3520 Mountain Boulevard,Oakland,CA,94619,510-436-1275,Oakland Unified
Alameda,01611506913131,Redwood Christian Elementary,19300 Redwood Road,Castro Valley,CA,94546,510-537-4288,Castro Valley Unified
Alameda,01613096998488,Redwood Christian Middle School and High School,1000 Paseo Grande,San Lorenzo,CA,94580,510-317-8990,San Lorenzo Unified
Alameda,01612596995542,Redwood Day School,3245 Sheffield Avenue,Oakland,CA,94602,510-534-0800,Oakland Unified
Alameda,01611196922470,Rising Star Montessori School,1421 High Street,Alameda,CA,94501,510-865-4536,Alameda
Alameda,01611926965917,Saint Clement Catholic School,790 Calhoun Street,Hayward,CA,94544,510-532-5885,Hayward Unified
Alameda,01612596933121,Saint Elizabeth High,1530 34th Avenue,Oakland,CA,94601,510-532-8947,Oakland Unified
Alameda,01612596972962,Saint Jarlath School,2634 Pleasant Street,Oakland,CA,94602,510-532-4387,Oakland Unified School District
Alameda,01612596973010,Saint Leo the Great School,4238 Howe Street,Oakland,CA,94611,510-654-7828,Oakland Unified
Alameda,01611436933162,Saint Mary's College High School,1294 Albina Avenue,Berkeley,CA,94706,510-526-9242,Berkeley Unified School District
Alameda,01612596994107,Saint Vincent's Day Home Inc.,1086 Eighth street,Oakland,CA,94607,510-832-8324,Oakland Unified
Alameda,01611436973085,School of the Madeleine,1225 Milvia Street,Berkeley,CA,94709,510-526-4744,Berkeley Unified
Alameda,01611766132872,Scribbles Montessori School,38660 Lexington Street,Fremont,CA,94536,510-797-9944,Fremont Unified
Alameda,01612596140131,Seneca Family of Agencies - Building Blocks,2370 Grande Vista Place,Oakland,CA,94601,510-434-7990,Oakland Unified
Alameda,01613097035512,Seneca Family of Agencies - James Baldwin Academy,2275 Arlington Drive,San Leandro,CA,94578,510-481-1222,San Leandro Unified
Alameda,01611767077548,Seneca Family of Agencies - Pathfinder Academy,40950 Chapel Way,Fremont,CA,94538,510-226-6180,Fremont Unified
Alameda,01613096131239,Shining Light Christian Academy,17315 Via Frances,San Lorenzo,CA,94580,510-566-4050,San Lorenzo Unified
Alameda,01612007081383,Sonrise Christian Academy,7640 National Drive,Livermore,CA,94550,925-315-7333,Livermore Valley Joint Unified
Alameda,01612596904452,St. Andrew M.B.C. Private P. C. P. C.,2608 West Street,Oakland,CA,94612,510-465-8023,Oakland Unified
Alameda,01612596967517,St. Anthony School,1500 East 15th Street,Oakland,CA,94606,510-534-3334,Oakland Unified
Alameda,01611926972871,St. Bede Catholic School,26910 Patrick Avenue,Hayward,CA,94544,510-782-3444,Hayward Unified
Alameda,01612346972921,St. Edward Parish,5788 Thornton Avenue,Newark,CA,94560,510-793-7242,Newark Unified
Alameda,01612596972939,St. Elizabeth Elementary,1516 33rd Avenue,Oakland,CA,94601,510-532-7392,Oakland Unified
Alameda,01613096972947,St. Felicitas Catholic School,1650 Manor Boulevard,San Leandro,CA,94579,510-357-2530,San Lorenzo Unified
Alameda,01611926972970,St. Joachim's Elementary,21250 Hesperian Boulevard,Hayward,CA,94541,510-783-3177,Hayward
Alameda,01613096970602,St. John Elementary,270 East Lewelling Boulevard,San Lorenzo,CA,94580,510-276-6632,San Lorenzo Unified
Alameda,01611766972996,St. Joseph Elementary,43222 Mission Boulevard,Fremont,CA,94539,510-656-6525,Fremont Unified
Alameda,01611196965891,St. Joseph Elementary,1910 San Antonio Avenue,Alameda,CA,94501,510-522-4456,Alameda Unified
Alameda,01611196933154,St. Joseph Notre Dame High School,1011 Chestnut Street,Alameda,CA,94501,510-523-1526,Alameda Unified
Alameda,01612596973002,St. Lawrence O'Toole Elementary,3695 High Street,Oakland,CA,94619,510-530-0266,Oakland Unified School District
Alameda,01612916970636,St. Leander,451 Davis Street,San Leandro,CA,94577,510-351-4144,San Leandro
Alameda,01612596967491,St. Martin De Porres,675 41st Street,Oakland,CA,94609,510-652-2220,Oakland Unified
Alameda,01612006967525,St. Michael Elementary,345 Church Street,Livermore,CA,94550,925-447-1888,Livermore Valley Joint Unified
Alameda,01750936959878,St. Philip Lutheran,8850 Davona Drive,Dublin,CA,94568,925-829-3857,Dublin Unified
Alameda,01611196973077,St. Philip Neri Elementary,1335 High Street,Alameda,CA,94501,510-521-0787,Alameda Unified School District
Alameda,01750937012222,St. Raymond,11557 Shannon Avenue,Dublin,CA,94568,925-828-4064,Dublin
Alameda,01612596967533,St. Theresa School,4850 Clarewood,Oakland,CA,94618,510-547-3146,Vera Young
Alameda,01612596203814,Starlite School,246 14th Street 2nd Floor,Oakland,CA,94612,510-238-8809,Oakland Unified
Alameda,01612916201172,Stars High School,545 Estudillo Avenue,San Leandro,CA,94577,510-352-9200,San Leandro Unified
Alameda,01612347045446,Stellar Academy for Dyslexics,38325 Cedar Boulevard,Newark,CA,94560,510-797-2227,private school
Alameda,01611436967442,The Berkeley School,1310 University Avenue,Berkeley,CA,94702,510-665-8800,Berkeley Unified
Alameda,01611196141683,The Child Unique Montessori School,2226 Encinal Avenue,Alameda,CA,94501,510-521-9227,Alameda Unified
Alameda,01611436928766,The Crowden School,1475 Rose Street,Berkeley,CA,94702,510-559-6910,Berkeley Unified
Alameda,,The Montessori Giving Tree,1914 Grove Way,Castro Valley,CA,94546,510-282-8375,Castro Valley Unified
Alameda,01612596141048,The Renaissance International School,3650 Dimond Avenue,Oakland,CA,94602,510-531-8566,Oakland Unified
Alameda,01611276138044,Tilden Preparatory School,1231 Solano Avenue,Albany,CA,94706,510-525-5506,Albany City Unified
Alameda,01612427088743,Union City Christian School,33700 Alvarado Niles Road,Union City,CA,94587,510-489-0394,New Haven Unified
Alameda,01750936972657,Valley Christian Elementary School,7500 Inspiration Drive,Dublin,CA,94568,925-560-6270,Dublin Unified
Alameda,01750936933170,Valley Christian Junior / Senior High School,7500 Inspiration Drive,Dublin,CA,94568,925-560-6240,Dublin Unified
Alameda,01612006900773,Valley Montessori School,1273 North Livermore Avenue,Livermore,CA,94551,925-455-8021,Livermore
Alameda,01611437045552,Via Center,2126 6th Street,Berkeley,CA,94710,510-848-1616,Berkeley Unified
Alameda,01612006203277,Vine and Branches Christian Schools,4303 East Avenue,Livermore,CA,94550,925-321-6828,Livermore Valley Joint Unified
Alameda,01611436134498,West Wind Academy,4131 Piedmont Avenue,Oakland,CA,94611,510-601-1661,Berkeley Unified
Alameda,01612756973135,Zion Lutheran School,5201 Park Boulevard,Piedmont,CA,94611,510-530-7909,Piedmont City Unified
Alpine,<>,California School,5432 West Oak Street Suite 12,Calaveras,CA,11122,445-555-666,Alpine County Unified
Amador,03739816983357,Sutter Hill Seventh-day Adventist,12900 Ridge Road,Sutter Creek,CA,95685,209-267-5849,Amador County Unified
Butte,04614247082878,American Christian Academy - Ext,776 Cleveland Avenue,Chico,CA,95928,530-365-2950,Chico Unified
Butte,04615316144299,Barrettsvilla,746 Spring Lane,Paradise,CA,95969,530-310-1852,Paradise Unified
Butte,04615317080294,Champion Christian School,5850 Clark Road,Paradise,CA,95969,530-413-9802,Paradise Unified
Butte,04614246973168,Chico Christian,2801 Notre Dame,Chico,CA,95928,530-879-8989,Chico Unified
Butte,04614247034820,Chico Oaks Adventist School,1859 Hooker Oak Avenue,Chico,CA,95926,530-342-5043,Chico Unified
Butte,04615316132948,Cornerstone Christian School,6500 Clark Road,Paradise,CA,95969,530-877-3240,Paradise Unified
Butte,04615236973887,Feather River Adventist,27 Cox Lane,Oroville,CA,95965,530-533-8848,Palermo Union Elementary
Butte,04614247083439,International Christian School,15850 Richardson Springs Road,Chico,CA,95973,530-893-5619,Chico Unified
Butte,04615317094923,Magalia Adventist School,15204 Skyway,Magalia,CA,95954,530-873-9168,Paradise Unified
Butte,04613826133458,Maranatha Christian School,75 Los Verjeles,Bangor,CA,95914,530-679-0411,Bangor Union Elementary
Butte,04615076906598,Oroville Christian School,3785 Olive Highway,Oroville,CA,95966,530-533-2888,Oroville City Elementary
Butte,04615316973903,Paradise Adventist Academy,5699 Academy Drive,Paradise,CA,95969,530-877-6540,Paradise Unified
Butte,04615316933204,Paradise Christian School,1573 Bille Road,Paradise,CA,95969,530-872-9029,Paradise Unified
Butte,04615317095177,Pines Christian Academy,14098 Skyway,Magalia,CA,95954,530-873-1412,Paradise Unified
Butte,04614247082480,Pleasant Valley Baptist School,13539 Garner Lane,Chico,CA,95973,530-343-0555,Chico Unified
Butte,04614247043482,Progressive Schoolhouse The,2400 Notre Dame Boulevard,Chico,CA,95928,530-345-5665,Chico Unified
Butte,04614246136410,Rose Scott Learning Community Inc.,850 Palmetto Avenue,Chico,CA,95926,530-345-8101,Chico Unified
Butte,04615076143556,Sierra School of Butte County,2775 Yard Street,Oroville,CA,95966,530-533-5464,Oroville City Elementary
Butte,04614247103864,Zanella Academy,1275 Virage Lane,Chico,CA,95973,530-828-6554,Chico Unified
Calaveras,<>,California School,5432 West Oak Street Suite 12,Calaveras,CA,54515,545-545-4545,Calaveras County Office of Education
Calaveras,<>,California School,5432 West Oak Street Suite 12,Calaveras,CA,54515,545-545-4545,Calaveras County Office of Education
Calaveras,1451,California School,5432 West Oak Street Suite 12,Calaveras,CA,54515,545-545-4545,Calaveras County Office of Education
Calaveras,05615727078538,Christian Family Learning Center,3710 Whittle Road,Angels Camp,CA,95222,209-736-1175,Bret Harte Unified School District
Calaveras,05615807105059,Christian Heritage Academy,3900 Highway 4,Vallecito,CA,95251,209-736-6394,Vallecito Union
Calaveras,05615646138606,Kingsway Learning Center,8403 East Murray Creek Road,Mountain Ranch,CA,95246,209-754-9958,Calaveras Unified
Calaveras,05615646135586,Zions Preparatory Academy / Nikola Tesla High School,General Delivery 480 Sunset Street,San Andreas,CA,95249,209-781-5298,Calaveras Unified
Colusa,,Landmark Baptist Academy,36 Birchwood Place,Colusa,CA,95932,530-790-5636,Colusa Unified
Colusa,06615986905780,Our Lady of Lourdes Parish,741 Ware Avenue,Colusa,CA,95932,530-458-8208,Colusa
Contra Costa,07617967100456,A Better Chance / California Autism Foundation,4138 Lakeside Drive,Richmond,CA,94806,510-262-1500,West Contra Costa Unified
Contra Costa,07617546134183,Above and Beyond Academy,68 Amador Court,Bay Point,CA,94565,925-261-1755,Mt. Diablo Unified
Contra Costa,07617547081565,American Christian Academy - Ext,1242 Easley Drive,Clayton,CA,94517,530-365-2950,Mt. Diablo Unified
Contra Costa,07617540112920,Anova Center for Education Site 2,3333 Ronald Way,Concord,CA,94519,925-687-9616,Mt. Diablo Unified
Contra Costa,,Antioch Christian Academy,1509 Monterey Drive,Antioch,CA,94509,925-776-4160,Antioch Unified
Contra Costa,07617967077894,Arlington Christian School,6382 Arlington Boulevard,Richmond,CA,94805,510-233-2556,West Contra Costa Unified
Contra Costa,07617546933337,Berean Christian High School,245 El Divisadero Avenue,Walnut Creek,CA,94598,925-945-6464,Mt. Diablo Unified
Contra Costa,07617966967608,Bethel Christian Academy,431 Rincon Lane,El Sobrante,CA,94803,510-223-9550,West Contra Costa Unified
Contra Costa,07616556134142,Bouton-Shaw Academy,4 Almond Street,Brentwood,CA,94513,925-497-3083,Brentwood Union Elementary
Contra Costa,07617546989867,Calvary Temple Christian School,4725 Evora Road,Concord,CA,94520,925-458-9870,Mt. Diablo
Contra Costa,07617966998157,Canterbury Elementary,3120 Shane Drive,Richmond,CA,94806,510-222-5050,West Contra Costa Unified
Contra Costa,07617546933345,Carondelet High,1133 Winton Drive,Concord,CA,94518,925-686-5353,Mt. Diablo Unified
Contra Costa,07617546967624,Christ the King Elementary,195-B Brandon Road,Pleasant Hill,CA,94523,925-685-1109,Mt. Diablo Unified
Contra Costa,07617546998165,Concord Christian Schools,2120 Olivera Court,Concord,CA,94520,925-825-1370,Mt. Diablo Unified
Contra Costa,07617546995658,Concordia School The,2353 Fifth Avenue,Concord,CA,94518,925-689-6910,Mt. Diablo Unified
Contra Costa,07617546906648,Contra Costa Christian Schools,2721 Larkey Lane,Walnut Creek,CA,94597,925-934-4964,Mt. Diablo Unified
Contra Costa,07617136133110,Contra Costa Jewish Day School,955 Risa Road,Lafayette,CA,94549,925-284-8288,Acalanes School District
Contra Costa,07616487101801,Cornerstone Christian School,1745 East 18th Street,Antioch,CA,94509,925-779-2010,Antioch Unified
Contra Costa,07617966972319,Crestmont School,6226 Arlington Boulevard,Richmond,CA,94805,510-237-4164,West Contra Costa Unified
Contra Costa,07616557032378,Dainty Center/Willow Wood School,1265 Dainty Avenue,Brentwood,CA,94513,925-634-4539,Brentwood Union Elementary
Contra Costa,07617546933394,De La Salle High School of Concord,1130 Winton Drive,Concord,CA,94518,925-288-8100,Mt. Diablo Unified
Contra Costa,07617547095326,Diablo Valley,2924 Clayton Road,Concord,CA,94519,925-676-2982,Mt. Diablo Unified
Contra Costa,07616556142657,Discovery Christian School,605 Harvest Park Drive Suite A,Brentwood,CA,94513,925-634-2002,Brentwood Union
Contra Costa,07618126967632,Dorris-Eaton School The,1847 Newell Avenue,Walnut Creek,CA,94595,925-933-5225,Walnut Creek Elementary
Contra Costa,07617966972335,El Sobrante Christian School,5100 Argyle Road,El Sobrante,CA,94803,510-223-2242,West Contra Costa Unified School District
Contra Costa,07617627090541,Faith Christian Learning Center,5400 Main Street,Oakley,CA,94561,925-437-1140,Oakley Union Elelmentary
Contra Costa,07617546143416,Fusion Academy--Walnut Creek,3003 Oak Road Suite 150,Walnut Creek,CA,94597,866-620-7922,Contra Costa County
Contra Costa,07616557072507,Golden Hills Christian School,2401 Shady Willow Lane,Brentwood,CA,94513,925-634-0493,Brentwood Union Elementary
Contra Costa,07617966142277,Growing Light Montessori School of Kensington,52 Arlington Avenue,Kensington,CA,94707,510-527-1278,West Contra Costa Unified
Contra Costa,07616486933410,Heritage Baptist Academy,5200 Heidorn Ranch Road,Antioch,CA,94531,925-778-2234,Antioch Unified
Contra Costa,07616486906622,Hilltop Christian,2200 Country Hills Drive,Antioch,CA,94509,925-778-0214,Antioch Unified
Contra Costa,07616486967640,Holy Rosary,25 East 15th Street,Antioch,CA,94509,925-757-1270,Antioch Unified
Contra Costa,,Home Schooling,107 Piedmont Lane,Pittsburg,CA,94565,925-395-6514,Pittsburg Unified
Contra Costa,07617546135610,Hope Academy for Dyslexics,5353 Concord Boulevard,Concord,CA,94521,925-687-7555,Mount Diablo
Contra Costa,07616977099716,King's Academy,878 Sandy Cove Drive,Rodeo,CA,94572,510-799-4544,John Swett Unified
Contra Costa,07617546933436,King's Valley Christian School,4255 Clayton Road,Concord,CA,94521,925-687-2020,Mt. Diablo Unified
Contra Costa,07616487020027,La Cheim School,1413 F Street Portable One,Antioch,CA,94509,925-777-1133,Antioch Unified
Contra Costa,07618127071624,Legacy Academy,3380 Vincent Road Suite HUB,Pleasant Hill,CA,94523,925-407-2690,Mt. Diablo Unified
Contra Costa,07617626142004,Legacy Christian School,4246 Empire Avenue Suite 2,Oakley,CA,94561,925-684-4628,Oakley Union Elementary
Contra Costa,07617886994818,Light the Bay Christian Academy,1210 Stoneman Avenue,Pittsburg,CA,94565,925-439-2552,Pittsburg Unified
Contra Costa,07616557087752,Lighthouse Christian Academy,870 Buckskin Terrace,Brentwood,CA,94513,925-634-9448,Brentwood Union Elementary
Contra Costa,,Love For Learning Prep K,809 2nd street,brentwood,CA,94513,818-916-4545,brentwood unified school district
Contra Costa,07617136998199,Meher Schools The,999 Leland Drive,Lafayette,CA,94549,925-938-9958,Lafayette Elementary
Contra Costa,07618046131270,Montessori School of San Ramon,919 Camino Ramon,Danville,CA,94526,925-838-7434,San Ramon Valley Unified
Contra Costa,07617546134175,Mount Eagle Academy,3 Corte Santa Clara,Moraga,CA,94556,925-215-4620,Mt. Diablo Unified
Contra Costa,,New Horizon Academy,5008 Hollow Ridge Court,Antioch,CA,94531,925-706-8100,Antioch Unified
Contra Costa,07617546134191,New Jerusalem Christian Academy,2586 Willow Pass Road,Bay Point,CA,94565,925-458-0621,Mt. Diablo Unified
Contra Costa,07617547099229,NorthCreek Academy,2303 Ygnacio Valley Road Suite A,Walnut Creek,CA,94598,925-954-6322,Mt. Diablo Unified
Contra Costa,07616306956973,Orinda Academy,19 Altarinda,Orinda,CA,94563,925-254-7553,Acalanes Union High
Contra Costa,07616307104953,Orion Academy,350 Rheem Boulevard,Moraga,CA,94556,925-377-0789,Acalanes Union High
Contra Costa,19646346143671,Pacific Bridge Academy,225 Camelback Road Number 151,Pleasant Hill,CA,95423,510-423-6159,Mt. Diablo Unified
Contra Costa,07616486134134,Paideia Academy,320 Worrell Avenue,Antioch,CA,94509,925-628-4033,Antioch
Contra Costa,07618126967665,Palmer School For Boys and Girls,2740 Jones Road,Walnut Creek,CA,94597,925-934-4888,Walnut Creek Elementary
Contra Costa,07617546973911,Pleasant Hill Adventist Academy,796 Grayson Road,Pleasant Hill,CA,94523,925-934-9261,Mt. Diablo Unified
Contra Costa,07617546967673,Queen of All Saints Elementary,2391 Grant Street,Concord,CA,94520,925-685-8700,Mt. Diablo Unified
Contra Costa,,Rose Kindergarten of Acorn Farm,5799 Oak Knoll Road,El Sobrante,CA,94803,510-223-8309,West Contra Costa Unified School District
Contra Costa,07617546967681,Saint Agnes,3886 Chestnut Avenue,Concord,CA,94519,925-689-3990,Mt. Diablo Unified
Contra Costa,07617966933493,Salesian High School,75 Santa Barbara Road,Richmond,CA,94804,510-234-4433,West Contra Costa Unified School Disctrict
Contra Costa,07618046906689,San Ramon Valley Christian Academy,220 West El Pintado Road,Danville,CA,94526,925-838-9622,San Ramon Valley Unified
Contra Costa,07617960128843,Seneca Family of Agencie Catalyst Academy,1060 Manor Road,El Sobrante,CA,94803,510-300-6381,West Contra Costa Unified
Contra Costa,07617547104045,Seneca Family of Agencies Olivera School,2351 Olivera Road,Concord,CA,94520,925-603-1900,Mt. Diablo Unified
Contra Costa,07618126967616,Seven Hills The,975 North San Carlos Drive,Walnut Creek,CA,94598,925-933-0666,Walnut Creek Elementary
Contra Costa,01611436139620,Shu Ren International School,1 Lawson Road,Kensington,CA,94707,510-647-9234,West Contra Costa Unified
Contra Costa,07618046146211,Singing Stones School,353 Rose Avenue,Danville,CA,94526,925-948-5006,San Ramon Valley Unified
Contra Costa,07617546933501,Spectrum Center Inc.-Valley Campus,1026 Oak Grove Road Suite 11,Concord,CA,94518,925-685-9703,Mt. Diablo Unified
Contra Costa,07617540115816,Spectrum Center Inc.-Ygnacio Campus,755 Oak Grove Road,Concord,CA,94518,925-685-9703,Mt. Diablo Unified
Contra Costa,07617136203855,Springstone School The,1035 Carol Lane,Lafayette,CA,94549,925-962-9660,Lafayette
Contra Costa,07617396969919,St. Catherine of Siena,604 Mellus Street,Martinez,CA,94553,925-228-4140,Martinez Unified
Contra Costa,07617396969919,St. Catherine of Siena,604 Mellus Street,Martinez,CA,94553,925-228-4140,Martinez Unified
