'FacNum','Capacity','LicStatus','Name','Address','City','State','Zipcode','Telephone'
10206032,40,'Licensed','SUPPORTING FUTURE GROWTH #2','860 - 30TH STREET','OAKLAND','CA',94609,'(510) 465-8810'
10206034,264,'Licensed','HUSD CHILD DEV. PROGRAM - HELEN TURNER','23640 REED WAY','HAYWARD','CA',94541,'(510) 783-3793'
10206036,88,'Licensed','OUSD - CENTRO INFANTIL DE LA RAZA','2660 EAST 16TH STREET','OAKLAND','CA',94601,'(510) 879-0819'
10206037,64,'Licensed','OUSD - BELLA VISTA','2410- 10TH AVENUE','OAKLAND','CA',94606,'(510) 879-1657'
10206120,70,'Licensed','BERKELEY YMCA HEAD START - WEST','2009 10TH STREET','BERKELEY','CA',94710,'(510) 848-9092'
10206127,82,'Licensed','OUSD - YUK YAU','291 - 10TH STREET','OAKLAND','CA',94607,'(510) 893-1659'
10206128,108,'Licensed','OUSD - LAUREL','3825 CALIFORNIA STREET','OAKLAND','CA',94619,'(510) 531-6226'
10206129,98,'Licensed','LANEY COLLEGE CHILDREN''S CENTER','900 FALLON STREET','OAKLAND','CA',94606,'(510) 464-3575'
10206130,96,'Licensed','OUSD - HIGHLAND','1322 - 86TH AVENUE','OAKLAND','CA',94621,'(510) 879-0815'
10206131,42,'Licensed','OUSD - HINTIL KUU CA','11850 CAMPUS DRIVE','OAKLAND','CA',94619,'(510) 879-0840'
10206134,240,'Licensed','KIDANGO - RIX CENTER','43100 ISLE ROYAL STREET','FREMONT','CA',94538,'(510) 656-3949'
10206137,72,'Licensed','OUSD - HARRIET TUBMAN','800-33RD STREET','OAKLAND','CA',94608,'(510) 654-7890'
10206139,118,'Licensed/Pending Increase','OUSD - STONEHURST','901 - 105TH AVENUE','OAKLAND','CA',94603,'(510) 879-0838'
10206141,98,'Licensed','MERRITT COLLEGE CHILDREN''S CENTER','12500 CAMPUS DRIVE','OAKLAND','CA',94619,'(510) 436-2436'
10206142,75,'Licensed','OUSD - PIEDMONT','86 ECHO AVENUE','OAKLAND','CA',94611,'(510) 879-0832'
10206146,79,'Licensed','OUSD - MANZANITA','2618 GRANDE VISTA AVENUE','OAKLAND','CA',94601,'(510) 879-0829'
10206151,48,'Licensed','OUSD - JEFFERSON','1975 - 40TH AVENUE','OAKLAND','CA',94601,'(510) 436-3700'
10206152,48,'Licensed','OUSD - EMERSON CHILD DEVELOPMENT CENTER','4801 LAWTON AVENUE','OAKLAND','CA',94609,'(510) 879-0811'
10206158,41,'Licensed','BOOTH MEMORIAL DAY CARE','2794 GARDEN STREET','OAKLAND','CA',94601,'(510) 535-5088'
10206194,70,'Licensed','TWENTY-FOUR HOUR OAKLAND PARENT/TEACHER C.CTR. #2','3500 EAST 9TH STREET','OAKLAND','CA',94601,'(510) 261-0162'
10206772,80,'Licensed','ADVENTURE TIME - DEL REY','1510 VIA SONYA','SAN LORENZO','CA',94580,'(415) 482-0610'
10208784,45,'Licensed','MOUNTAIN BOULEVARD PRE-SCHOOL LEARNING CENTER.','4432 MOUNTAIN BOULEVARD','OAKLAND','CA',94619,'(510) 482-2850'
10208785,24,'Licensed','CALVARY LUTHERAN PRESCHOOL','17200 VIA MAGDALENA','SAN LORENZO','CA',94580,'(510) 278-2598'
10209297,108,'Licensed','STEP ONE SCHOOL','499 SPRUCE STREET','BERKELEY','CA',94708,'(510) 527-9021'
10209363,120,'Licensed','LARPD EXTENDED STUDENT SERVICES - SMITH','391 ONTARIO DRIVE','LIVERMORE','CA',94550,'(925) 960-2467'
10209453,40,'Licensed','BERKELEY HILLS NURSERY SCHOOL','1161 STERLING AVENUE','BERKELEY','CA',94708,'(510) 849-1216'
10209542,64,'Licensed','CENTRO VIDA BILINGUAL CHILDCARE CENTER','1000 CAMELIA STREET','BERKELEY','CA',94710,'(415) 525-1463'
10209547,49,'Licensed','BETH SHOLOM PRESCHOOL','642 DOLORES AVENUE','SAN LEANDRO','CA',94577,'(510) 357-7920'
10209666,20,'Licensed','TWENTY FOUR HOUR-OAKLAND PARENT TEACHER C.C.#1','4700 EAST 14TH STREET','OAKLAND','CA',94601,'(510) 532-0574'
10209776,60,'Licensed','YMCA OF THE EAST BAY Y-KIDS MISSION VALLEY','41700 DENISE STREET','FREMONT','CA',94539,'(510) 659-9427'
10209783,29,'Licensed','NEW HORIZONS PRESCHOOL AND DAY CARE','405 EAST JACK LONDON BOULEVARD','LIVERMORE','CA',94550,'(925) 455-6082'
10209844,54,'Licensed','BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH','3021 BROOKDALE AVENUE','OAKLAND','CA',94602,'(510) 261-1077'
10209901,58,'Licensed','CHILD''S HIDEAWAY','45150 GRIMMER','FREMONT','CA',94539,'(510) 656-3218'
10209917,24,'Licensed','ALBANY PRESCHOOL','850 MASONIC AVENUE','ALBANY','CA',94706,'(510) 527-2281'
10210068,91,'Licensed','DUCK''S NEST - BERKELEY','1411 - 4TH STREET','BERKELEY','CA',94710,'(510) 527-2331'
10210079,78,'Licensed','ELMHURST DAY CARE AND PRESCHOOL','380 ELMHURST STREET','HAYWARD','CA',94544,'(510) 786-1289'
10210116,75,'Licensed','LLESA CHILDREN''S CENTER','1401 ALMOND AVENUE','LIVERMORE','CA',94550,'(925) 424-0507'
10210125,45,'Licensed','LEA''S CHRISTIAN SCHOOL-CHILD CARE CENTER','26236 ADRIAN AVENUE','HAYWARD','CA',94545,'(510) 785-0334'
10210145,20,'Licensed','CHILD UNIQUE MONT. SCHOOL','2212 PACIFIC AVE.','ALAMEDA','CA',94501,'(510) 521-1030'
10210219,60,'Licensed','GAN MAH TOV PRESCHOOL','3778 PARK BOULEVARD','OAKLAND','CA',94610,'(510) 530-2146'
10210266,24,'Licensed','PACIFIC COAST MONTESSORI PROGRAM','326 - 51ST STREET','OAKLAND','CA',94609,'(510) 653-3129'
10210313,32,'Licensed','GRACE CHILDREN''S ACADEMY','993 53RD. STREET','OAKLAND','CA',94608,'(510) 653-1115'
10210354,165,'Licensed','GRAND LAKE MONTESSORI','466 CHETWOOD ST','OAKLAND','CA',94610,'(415) 836-4313'
10210446,60,'Licensed','MONTESSORI FAMILY SCHOOL','1850 SCENIC AVENUE','BERKELEY','CA',94709,'(510) 848-2322'
10210508,60,'Licensed','YMCA OF THE EAST BAY Y-KIDS CHADBOURNE','801 PLYMOUTH AVENUE','FREMONT','CA',94539,'(510) 656-7243'
10210641,15,'Licensed','OAKLAND PROGRESSIVE DAY CARE','733 BEATIE STREET','OAKLAND','CA',94606,'(510) 835-0131'
10210666,75,'Licensed','ADVENTURE TIME - BAY SCHOOL','2001 BOCKMAN ROAD','SAN LORENZO','CA',94580,'(510) 276-5406'
10210724,48,'Licensed','BEACON DAY SCHOOL','2101 LIVINGSTON STREET','OAKLAND','CA',94606,'(510) 436-4466'
10210735,24,'Licensed','LAKEVIEW PRESCHOOL','515 GLENVIEW AVENUE','OAKLAND','CA',94610,'(510) 444-1725'
10210783,80,'Licensed','RESURRECTION LUTHERAN PRESCHOOL','7557A AMADOR VALLEY BOULEVARD','DUBLIN','CA',94568,'(925) 829-5487'
10210862,41,'Licensed','EDEN EARLY CHILDHOOD DEVELOPMENT CENTER','680 WEST TENNYSON ROAD','HAYWARD','CA',94544,'(510) 887-1146'
10211015,50,'Licensed','LIVERMORE PLAYSCHOOL','5261 EAST AVENUE','LIVERMORE','CA',94550,'(925) 447-6042'
10211112,65,'Licensed','MODEL SCHOOL COMPREHENSIVE HUMANISTIC LEARNING CTR','2330 PRINCE STREET','BERKELEY','CA',94705,'(510) 549-2711'
10211572,22,'Licensed','MULBERRY SCHOOL (THE)','207 ALVARADO ROAD','BERKELEY','CA',94705,'(510) 540-0732'
10211701,60,'Licensed','LOLLIPOP LANE PRE-SCHOOL','341 PASEO GRANDE','SAN LORENZO','CA',94580,'(510) 481-2114'
10211702,28,'Licensed','CHILD''S HIDEAWAY (A)','37531 FREMONT BOULEVARD','FREMONT','CA',94536,'(510) 792-8415'
10211748,40,'Licensed','ST. JAMES CHRISTIAN PRE-SCHOOL','993 ESTUDILLO AVENUE','SAN LEANDRO','CA',94577,'(510) 895-9590'
10211775,126,'Licensed','HIS GROWING GROVE','2490 GROVE WAY','CASTRO VALLEY','CA',94546,'(510) 581-5088'
10211854,58,'Licensed','GROWING YEARS PRESCHOOL','20320 ANITA AVENUE','CASTRO VALLEY','CA',94546,'(510) 581-3731'
10212000,20,'Licensed','CFCS HEAD START - GLASSBROOK','925 SCHAFER ROAD','HAYWARD','CA',94544,'(510) 732-6628'
10212020,31,'Licensed','SNOW WHITE PRESCHOOL','214 WEST MAC ARTHUR BLVD.','OAKLAND','CA',94611,'(510) 655-8353'
10212123,66,'Licensed','MUSTARD SEED PRESCHOOL','1640 HOPKINS STREET','BERKELEY','CA',94707,'(510) 527-6627'
10212172,28,'Licensed','GAY AUSTIN SCHOOL (THE)','1611 HOPKINS STREET','BERKELEY','CA',94707,'(510) 526-2815'
10212175,37,'Licensed','NEW DAY PRESCHOOL & LEARNING CTR.','460 WEST GRAND AVENUE','OAKLAND','CA',94612,'(510) 465-8591'
10212245,72,'Licensed','CORNERSTONE CHILDREN''S CENTER','2407 DANA STREET','BERKELEY','CA',94704,'(510) 280-6126'
10212301,174,'Licensed','CHALLENGER SCHOOL','39600 CEDAR BOULEVARD','NEWARK','CA',94560,'(510) 770-1771'
10212304,25,'Licensed','ST. LEO''S PRE-KINDERGARTEN','4238 HOWE STREET','OAKLAND','CA',94611,'(510) 654-7828'
10212344,76,'Licensed','ST. CLARE''S CHRISTIAN PRESCHOOL','3350 HOPYARD ROAD','PLEASANTON','CA',94588,'(925) 462-0938'
10212422,85,'Licensed','SMILES DAY SCHOOL','5701 THORNHILL DRIVE','OAKLAND','CA',94611,'(510) 339-9660'
10212475,34,'Licensed','OAKLAND HEAD START - SAN ANTONIO','2228 EAST 15TH STREET','OAKLAND','CA',94606,'(510) 535-5639'
10212490,56,'Licensed','UCB - HAROLD E. JONES CHILD STUDY CTR/CHILDCARE','2425 ATHERTON STREET','BERKELEY','CA',94704,'(510) 643-5449'
10212497,28,'Licensed','MY OWN MONTESSORI SCHOOL','5723 OAK GROVE AVENUE','OAKLAND','CA',94618,'(510) 652-5979'
10212589,185,'Licensed','FREMONT CHRISTIAN PRESCHOOL','4760 THORNTON AVENUE','FREMONT','CA',94536,'(510) 744-2260'
10212907,30,'Licensed','CFCS HEAD START - MADISON','14811 JUNIPER STREET','SAN LEANDRO','CA',94579,'(510) 483-2924'
10212910,42,'Licensed','PILGRIM''S ENRICHMENT & PRESCHOOL PROGRAM','3900 35TH AVENUE','OAKLAND','CA',94619,'(510) 531-3715'
10212911,30,'Licensed','PILGRIM''S ENRICHMENT & PRESCHOOL PROGRAM','3900 35TH AVENUE','OAKLAND','CA',94619,'(510) 531-3715'
10212998,105,'Licensed','CAMELOT SCHOOL-VALLEY VIEW CAMPUS','2330 POMAR VISTA','CASTRO VALLEY','CA',94546,'(510) 481-1304'
10213356,60,'Licensed','CAPE - WM. ORMAND III EARLY ED. CTR.','800 MARYLIN AVENUE','LIVERMORE','CA',94550,'(925) 443-3434'
10213410,204,'Licensed','HACIENDA CHILD DEVELOPMENT CENTER','4671 CHABOT DRIVE','PLEASANTON','CA',94588,'(925) 463-2885'
10213461,19,'Licensed','LIGHTHOUSE KIDDIE KINGDOM','16053 ASHLAND AVENUE','SAN LORENZO','CA',94580,'(510) 276-9108'
10213520,19,'Licensed','ROCKRIDGE MONTESSORI SCHOOL','5610 BROADWAY','OAKLAND','CA',94618,'(510) 652-7021'
10213704,50,'Licensed','PIEDMONT SCHOOLMATES - HAVENS','323 HIGHLAND','PIEDMONT','CA',94611,'(510) 420-3078'
10213705,22,'Licensed','GAN SAMEACH NURSERY SCHOOL','42000 PASEO PADRE PARKWAY','FREMONT','CA',94539,'(510) 651-5833'
10213754,60,'Licensed','WEE CARE PRESCHOOL AND CHILD CARE','2133 CENTRAL AVENUE','ALAMEDA','CA',94501,'(510) 523-7858'
10213812,66,'Licensed','EMERYVILLE CHILD DEVELOPMENT CENTER','1220 - 53RD STREET','EMERYVILLE','CA',94608,'(510) 596-4343'
10213815,54,'Licensed','MILLS COLLEGE CHILDREN''S SCHOOL','MILLS COLLEGE CAMPUS','OAKLAND','CA',94613,'(510) 430-2118'
10213888,137,'Licensed','BRIDGES COMMUNITY CHURCH - LITTLE LAMB MINISTRIES','505 DRISCOLL ROAD','FREMONT','CA',94539,'(510) 656-1359'
10213903,111,'Licensed','MONTESSORI SCHOOL AT WASHINGTON AVENUE','14795 WASHINGTON AVENUE','SAN LEANDRO','CA',94578,'(510) 357-8432'
10214163,74,'Licensed','OAKLAND MONTESSORI SCHOOL','3636 DIMOND AND 3625 FRUITVALE','OAKLAND','CA',94611,'(510) 482-3148'
10214204,34,'Licensed','OAKLAND HEAD START - SAN ANTONIO PARK','1701 EAST 19TH STREET','OAKLAND','CA',94606,'(510) 535-5609'
10214249,15,'Licensed','EPHESIAN CHILDREN''S CENTER','1907 HARMON AVENUE','BERKELEY','CA',94703,'(510) 653-2984'
10214258,26,'Licensed','BERNICE & JOE PLAYSCHOOL','7001 SUNKIST DRIVE','OAKLAND','CA',94605,'(510) 638-3529'
10214282,63,'Licensed','LITTLE PEOPLES PRESCHOOL & DAY CARE','33700 ALVARADO - NILES ROAD','UNION CITY','CA',94587,'(510) 489-8650'
10214382,97,'Licensed','RENAISSANCE SCHOOL','3668 DIMOND AVENUE','OAKLAND','CA',94602,'(510) 531-8566'
10214436,60,'Licensed','DAVIS STREET CHILD CARE CENTER','1190 DAVIS STREET','SAN LEANDRO','CA',94577,'(510) 635-5437'
10214464,24,'Licensed','FUSD - CABRILLO STATE PRESCHOOL','36700 SAN PEDRO DRIVE','FREMONT','CA',94536,'(510) 792-3015'
10214465,48,'Licensed','FUSD - DURHAM STATE PRESCHOOL','40292 LESLIE STREET','FREMONT','CA',94538,'(510) 656-6360'
10214550,47,'Licensed','HUSD CHILD DEV. PROGRAM - MUIR','24823 SOTO ROAD','HAYWARD','CA',94541,'(510) 582-1792'
10214551,24,'Licensed','HUSD CHILD DEV. PROGRAM - SHEPHERD','27211 TYRRELL','HAYWARD','CA',94544,'(510) 783-1182'
10214552,24,'Licensed','HUSD CHILD DEV. PROGRAM - BOWMAN','520 JEFFERSON STREET','HAYWARD','CA',94544,'(510) 582-1743'
10214554,24,'Licensed','HUSD CHILD DEV. PROGRAM - CHERRYLAND','585 WILLOW AVENUE','HAYWARD','CA',94541,'(510) 582-1737'
10214589,24,'Licensed','CVUSD - MARSHALL SCHOOL STATE PRESCHOOL','20111 MARSHALL STREET','CASTRO VALLEY','CA',94546,'(510) 537-5933'
10214653,80,'Licensed','EARLY YEARS CHILDREN''S CENTER','1251 HOPYARD ROAD','PLEASANTON','CA',94566,'(925) 462-2202'
10214680,34,'Licensed','TOTS UNIVERSITY','7890 OXBOW LANE','DUBLIN','CA',94568,'(925) 833-9002'
10214880,84,'Licensed','KING''S KIDS PRESCHOOL','38325 CEDAR BLVD.','NEWARK','CA',94560,'(510) 797-6505'
10214881,140,'Licensed','BUSD - HOPKINS STREET','1810 HOPKINS STREET','BERKELEY','CA',94707,'(510) 644-8939'
10214883,50,'Licensed','ALAMEDA HEAD START - ANGELA AGUILAR CENTER','1901 THIRD STREET','ALAMEDA','CA',94501,'(510) 865-1090'
10214911,34,'Licensed','KIDANGO-DELAINE EASTIN CHILD DEV. CENTER','584 BROWN ROAD','FREMONT','CA',94539,'(510) 490-5570'
10214913,49,'Licensed','FREE TO BE PRE-SCHOOL','188 APPIAN WAY','UNION CITY','CA',94587,'(510) 471-0731'
10214929,48,'Licensed','MERRITT COLLEGE PRESCHOOL PRACTICUM','12500 CAMPUS DRIVE','OAKLAND','CA',94619,'(510) 436-2588'
10214949,48,'Licensed','NEWARK COMMUNITY CENTER ANNEX','35501 CEDAR BOULEVARD','NEWARK','CA',94560,'(510) 578-4434'
10215002,21,'Licensed','OAKLAND HEAD START - FRANK MAR','274 12TH STREET','OAKLAND','CA',94607,'(510) 238-3165'
10215003,29,'Licensed','OAKLAND HEAD START - ARROYO VIEJO PARK','7701 KRAUSE AVENUE','OAKLAND','CA',94605,'(510) 615-5757'
10215033,20,'Licensed','OAKLAND HEAD START - MANZANITA','2701 - 22ND AVENUE','OAKLAND','CA',94606,'(510) 535-5627'
10215106,48,'Licensed','OUSD - LOCKWOOD','1125 69TH AVENUE','OAKLAND','CA',94621,'(510) 879-0823'
10215373,36,'Licensed','ST. PHILIP PRESCHOOL','8850 DAVONA DRIVE','DUBLIN','CA',94568,'(925) 829-3857'
10215400,24,'Licensed','OUSD - LOCKWOOD SCHOOL - CUES PRESCHOOL','6701 INTERNATIONAL BLVD.','OAKLAND','CA',94621,'(510) 879-0827'
10215401,59,'Licensed','OUSD - BROOKFIELD CDC','401 JONES AVENUE','OAKLAND','CA',94603,'(510) 633-0462'
10215403,90,'Licensed','OAKLAND HEAD START - EASTMONT MALL','7200 BANCROFT AVENUE # 203','OAKLAND','CA',94605,'(510) 615-5747'
10215558,20,'Licensed','CFCS HEAD START - ASH STREET','37365 ASH STREET','NEWARK','CA',94560,'(510) 795-6846'
10215673,14,'Licensed','HOPKINS STREET CHILDCARE CENTER','1910 HOPKINS STREET','BERKELEY','CA',94707,'(510) 524-1352'
10215677,84,'Licensed','LITTLE MUD PUDDLES LEARNING CENTER','34072 FREMONT BOULEVARD','FREMONT','CA',94555,'(510) 791-6158'
10215763,36,'Licensed','HOLY SPIRIT PRESCHOOL','3930 PARISH AVENUE','FREMONT','CA',94536,'(510) 793-2013'
10215826,24,'Licensed','OUSD - COX CDC - REACH ACADEMY','9860 SUNNYSIDE STREET','OAKLAND','CA',94606,'(510) 879-0807'
10215834,30,'Licensed','CFCS HEAD START - JEFFERSON','14432 BANCROFT AVENUE','SAN LEANDRO','CA',94578,'(510) 895-5107'
10215838,62,'Licensed','LITTLE KIDS LEARNING CENTER','11760 DUBLIN BOULEVARD','DUBLIN','CA',94568,'(925) 828-2081'
10215881,99,'Licensed','SONSHINE ENRICHMENT CENTER PRESCHOOL','1225 HOPYARD ROAD','PLEASANTON','CA',94566,'(925) 417-8411'
10215940,48,'Licensed','NEW SCHOOL OF BERKELEY','1606 BONITA','BERKELEY','CA',94709,'(510) 548-9165'
10216054,72,'Licensed','PACIFIC RIM INTERNATIONAL SCHOOL','5521 DOYLE STREET','EMERYVILLE','CA',94608,'(510) 601-1500'
10216108,25,'Licensed','OAKLAND HEAD START - TASSAFARONGA','975- 85TH AVENUE','OAKLAND','CA',94621,'(510) 639-0580'
10216109,48,'Licensed','OAKLAND HEAD START - BROOKFIELD','9600 EDES AVENUE','OAKLAND','CA',94603,'(510) 615-5737'
10216208,23,'Licensed','ILE OMODE SCHOOL','8924 HOLLY STREET','OAKLAND','CA',94621,'(510) 632-8230'
10216245,17,'Licensed','UCB - CLARK KERR CAMPUS CHILDREN''S CENTER','2900 DWIGHT WAY','BERKELEY','CA',94720,'(510) 643-5527'
10216398,25,'Licensed','MONTCLAIR COMMUNITY PLAY CENTER','5815 THORNHILL DRIVE','OAKLAND','CA',94611,'(510) 339-7213'
10216410,48,'Licensed','OUSD - WEBSTER ACADEMY','7980 PLYMOUTH STREET','OAKLAND','CA',94621,'(510) 879-0842'
10216455,34,'Licensed','OAKLAND HEAD START - VIRGINIA','4335 VIRGINIA AVENUE','OAKLAND','CA',94619,'(510) 261-1479'
10216456,60,'Licensed','OAKLAND HEAD START - NINETY SECOND AVENUE','9202 INTERNATIONAL BLVD','OAKLAND','CA',94603,'(510) 568-1406'
10216514,89,'Licensed','LA PETITE ACADEMY - PLEASANTON','5725 VALLEY AVENUE','PLEASANTON','CA',94566,'(925) 462-7844'
10216579,24,'Licensed','OUSD - HOWARD SCHOOL','8755 FONTAINE STREET','OAKLAND','CA',94605,'(510) 639-3262'
10216686,30,'Licensed','MONTEVERDE SCHOOL','2727 COLLEGE','BERKELEY','CA',94705,'(510) 848-3313'
13406853,231,'Licensed','SPRINGFIELD MONTESSORI SCHOOL - DUBLIN','5100 BRANNIGAN STREET','DUBLIN','CA',94568,'(925) 828-5102'
13410064,34,'Licensed','OAKLAND HEAD START - SUNGATE','2563 E. 14TH STREET','OAKLAND','CA',94601,'(510) 535-5649'
13410074,85,'Licensed','ECOLE BILINGUE DE BERKELEY','2830 TENTH STREET','BERKELEY','CA',94710,'(510) 549-3867'
13410076,72,'Licensed','OUSD - ALICE','250 17TH STREET','OAKLAND','CA',94612,'(510) 874-7753'
13410087,120,'Licensed','MONTESSORI SCHOOL OF SAN LEANDRO','16492 FOOTHILL BLVD.','SAN LEANDRO','CA',94578,'(510) 278-1115'
13411080,42,'Licensed','BROADWAY CHILDREN''S SCHOOL OF OAKLAND','394 ADAMS STREET','OAKLAND','CA',94610,'(510) 763-9337'
13411098,30,'Licensed','CFCS HEAD START - DECOTO PLAZA','500 E STREET','UNION CITY','CA',94587,'(510) 489-8211'
13411214,32,'Licensed','KIDANGO-GLEN BERRY CHILD DEVELOPMENT CENTER','625 BERRY AVENUE','HAYWARD','CA',94541,'(510) 728-0649'
13411303,122,'Licensed','QUARRY LANE SCHOOL','3750 BOULDER STREET','PLEASANTON','CA',94566,'(925) 846-9400'
13411335,45,'Licensed','SUPPORTING FUTURE GROWTH #7','22584 SOUTH GARDEN AVENUE','HAYWARD','CA',94541,'(510) 780-9120'
13411352,60,'Licensed','SCRIBBLES LEARNING CENTER','38660 LEXINGTON STREET','FREMONT','CA',94536,'(510) 797-9944'
13411388,30,'Licensed','ABC PRESCHOOL','1525 BAY STREET','ALAMEDA','CA',94501,'(510) 521-6488'
13411435,37,'Licensed','BERKELEY YMCA HEAD START - OCEAN VIEW','1422 SAN PABLO AVENUE','BERKELEY','CA',94702,'(510) 559-2090'
