"","FacNum","County","Type","City.x","Name.x","Total","UptodateTot","UptodatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HEPBTot","HEPBPct","VariTot","VariPct","Report","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"81",310321560,"PLACER","PRIVATE","GRANITE BAY","BRIGHTON SCHOOLS-GRANITE BAY",55,52,95,3,5,0,0,0,0,54,98,54,98,54,98,55,100,53,96,55,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"91",313605048,"PLACER","PRIVATE","ROCKLIN","KINDERCARE LEARNING CENTER - SUNSET INF",65,52,80,13,20,0,0,0,0,52,80,60,92,59,91,64,98,57,88,58,89,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"94",313605651,"PLACER","HEAD START","LOOMIS","KIDZKOUNT CHILD DEVELOPMENT CENTER, LOOMIS",17,16,94,1,6,0,0,0,0,16,94,17,100,16,94,17,100,16,94,17,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"96",313606222,"PLACER","PRIVATE","ROSEVILLE","KNOWLEDGE BEGINNINGS - SANTA CLARA",85,39,46,45,53,0,0,1,1,51,60,76,89,65,76,83,98,73,86,59,69,"Y",0.0117647058823529,NA,NA,NA,NA,NA,NA,NA,NA
"97",313606470,"PLACER","PUBLIC","ROSEVILLE","CHILDTIME CHILDREN'S CENTER",75,63,84,8,11,0,0,4,5,71,95,71,95,69,92,71,95,70,93,68,91,"Y",0.0533333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"103",313608509,"PLACER","PUBLIC","ROCKLIN","LA PETITE ACADEMY",49,29,59,20,41,0,0,0,0,29,59,39,80,47,96,48,98,34,69,43,88,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"107",313609284,"PLACER","PRIVATE","AUBURN","O'BRIEN CHILD DEVELOPMENT CENTER",16,9,56,7,44,0,0,0,0,9,56,14,88,10,63,14,88,13,81,11,69,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"110",313610265,"PLACER","PRIVATE","ROCKLIN","PHOENIX SCHOOL, THE",85,24,28,61,72,0,0,0,0,37,44,46,54,45,53,51,60,24,28,41,48,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"111",313610269,"PLACER","PRIVATE","ROSEVILLE","PHOENIX SCHOOL, THE",97,87,90,10,10,0,0,0,0,91,94,94,97,94,97,96,99,93,96,97,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"112",313610639,"PLACER","PRIVATE","LINCOLN","MORNINGSTAR MONTESSORI SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",313615425,"PLACER","PRIVATE","ROSEVILLE","MERRYHILL SCHOOL-SIERRA GARDENS",11,11,100,0,0,0,0,0,0,11,100,11,100,11,100,11,100,11,100,11,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"125",313615843,"PLACER","PRIVATE","ROSEVILLE","JOYLAND",86,84,98,1,1,0,0,1,1,84,98,85,99,85,99,85,99,85,99,85,99,"Y",0.0116279069767442,NA,NA,NA,NA,NA,NA,NA,NA
"128",313616300,"PLACER","HEAD START","AUBURN","KIDZKOUNT INFANT TODDLER DEVELOPMENT CTR.",13,10,77,3,23,0,0,0,0,10,77,12,92,12,92,13,100,13,100,11,85,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"142",313617448,"PLACER","PRIVATE","ROSEVILLE","TOMORROW BILINGUAL MONTESSORI PRESCHOOL",10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,10,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"170",340306212,"SACRAMENTO","PRIVATE","SACRAMENTO","DOT TOT CENTER FOR INFANTS",19,16,84,2,11,1,5,0,0,17,89,19,100,17,89,19,100,18,95,17,89,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"192",340310907,"SACRAMENTO","PRIVATE","SACRAMENTO","ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER",133,106,80,14,11,0,0,13,10,124,93,128,96,130,98,122,92,130,98,124,93,"Y",0.0977443609022556,NA,NA,NA,NA,NA,NA,NA,NA
"194",340311130,"SACRAMENTO","PUBLIC","SACRAMENTO","YMCA OF SUPERIOR CALIFORNIA- CDC INFANT",47,32,68,15,32,0,0,0,0,32,68,37,79,34,72,39,83,35,74,33,70,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"211",340315962,"SACRAMENTO","PUBLIC","SACRAMENTO","LIGHTHOUSE",54,37,69,14,26,0,0,3,6,40,74,47,87,49,91,51,94,47,87,42,78,"Y",0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA
"247",340320568,"SACRAMENTO","PRIVATE","SACRAMENTO","KINDER WORLD, INC",93,86,92,7,8,0,0,0,0,89,96,93,100,93,100,91,98,91,98,93,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"260",343600373,"SACRAMENTO","PRIVATE","ELK GROVE","MERRYHILL SCHOOL-LAGUNA PARK",110,107,97,0,0,0,0,3,3,107,97,107,97,107,97,107,97,107,97,107,97,"Y",0.0272727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"263",343600827,"SACRAMENTO","PRIVATE","FAIR OAKS","TUTOR TIME",59,58,98,1,2,0,0,0,0,58,98,59,100,59,100,59,100,58,98,59,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"268",343601084,"SACRAMENTO","PRIVATE","FOLSOM","BRIGHTON SCHOOLS-FOLSOM",118,100,85,16,14,0,0,2,2,102,86,100,85,102,86,102,86,100,85,102,86,"Y",0.0169491525423729,NA,NA,NA,NA,NA,NA,NA,NA
"274",343601392,"SACRAMENTO","PRIVATE","SACRAMENTO","JUST KIDS AT DISCOVERY TREE SCHOOL",28,25,89,3,11,0,0,0,0,27,96,28,100,27,96,28,100,27,96,26,93,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"287",343602981,"SACRAMENTO","PRIVATE","ELK GROVE","KINDERCARE LEARNING CENTER BRUCEVILLE",43,37,86,6,14,0,0,0,0,37,86,41,95,40,93,41,95,40,93,40,93,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"288",343602985,"SACRAMENTO","PRIVATE","RANCHO CORDOVA","KINDERCARE LEARNING CENTER - VEHICLE",34,9,26,25,74,0,0,0,0,11,32,13,38,12,35,14,41,12,35,12,35,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"290",343603012,"SACRAMENTO","PUBLIC","ELK GROVE","KINDERCARE LEARNING CENTER PEETS",40,30,75,10,25,0,0,0,0,30,75,31,78,35,88,35,88,30,75,30,75,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"291",343603018,"SACRAMENTO","PUBLIC","SACRAMENTO","KINDERCARE LEARNING CENTER MACK",37,0,0,37,100,0,0,0,0,8,22,34,92,26,70,29,78,28,76,21,57,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"292",343603021,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","KINDERCARE LEARNING CENTER PURSLANE INF",48,25,52,23,48,0,0,0,0,25,52,36,75,38,79,35,73,31,65,35,73,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"294",343603027,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","KINDERCARE LEARNING CENTER - SAN JUAN",54,43,80,10,19,0,0,1,2,43,80,45,83,44,81,45,83,45,83,43,80,"Y",0.0185185185185185,NA,NA,NA,NA,NA,NA,NA,NA
"301",343603678,"SACRAMENTO","PRIVATE","SACRAMENTO","COTTAGE KIDS CHILDREN'S CENTER",46,30,65,16,35,0,0,0,0,30,65,45,98,44,96,46,100,41,89,45,98,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"302",343603783,"SACRAMENTO","PRIVATE","ORANGEVALE","CLAIRE'S MONTESSORI",11,11,100,0,0,0,0,0,0,11,100,11,100,11,100,11,100,11,100,11,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"310",343604425,"SACRAMENTO","HEAD START","SACRAMENTO","MARK HOPKINS ROSA PARKS WRAP",24,23,96,0,0,1,4,0,0,24,100,24,100,24,100,23,96,24,100,24,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"322",343605039,"SACRAMENTO","PRIVATE","SACRAMENTO","DISCOVERY TREE SCHOOL",13,10,77,3,23,0,0,0,0,11,85,12,92,12,92,13,100,12,92,10,77,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"334",343605989,"SACRAMENTO","PRIVATE","SACRAMENTO","ONLY LOVE CHILDREN'S CENTER",29,27,93,2,7,0,0,0,0,27,93,29,100,28,97,29,100,29,100,28,97,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"336",343606782,"SACRAMENTO","PRIVATE","SACRAMENTO","DISCOVERY TREE SCHOOL - I STREET",33,6,18,27,82,0,0,0,0,28,85,28,85,28,85,33,100,24,73,27,82,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"344",343607121,"SACRAMENTO","PRIVATE","SACRAMENTO","DISCOVERY TREE SCHOOL - P STREET",30,15,50,15,50,0,0,0,0,15,50,22,73,30,100,30,100,21,70,21,70,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"351",343608220,"SACRAMENTO","PRIVATE","ELK GROVE","MERRYHILL SCHOOL-HARBOUR PT.",81,54,67,27,33,0,0,0,0,54,67,69,85,68,84,78,96,59,73,65,80,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"355",343608666,"SACRAMENTO","PUBLIC","SACRAMENTO","READY-SET-GO CHILDREN'S CENTER",56,49,88,6,11,0,0,1,2,50,89,53,95,53,95,54,96,53,95,54,96,"Y",0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"359",343608992,"SACRAMENTO","PRIVATE","SACRAMENTO","DISCOVERY TREE SCHOOL-MCCLATCHY CAMPUS",20,14,70,6,30,0,0,0,0,14,70,18,90,16,80,19,95,18,90,15,75,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"360",343609290,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","ANGELS IN ACTION LEARNING CENTER",20,0,0,20,100,0,0,0,0,3,15,19,95,18,90,20,100,18,90,20,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"364",343609745,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","O'BRIEN CHILD DEVELOPMENT",10,3,30,5,50,0,0,2,20,5,50,8,80,6,60,6,60,8,80,7,70,"Y",0.2,NA,NA,NA,NA,NA,NA,NA,NA
"370",343610245,"SACRAMENTO","PRIVATE","SACRAMENTO","PHOENIX SCHOOL, THE",32,19,59,13,41,0,0,0,0,23,72,26,81,25,78,25,78,27,84,26,81,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"372",343610249,"SACRAMENTO","PRIVATE","SACRAMENTO","PHOENIX SCHOOL, THE",26,12,46,13,50,0,0,1,4,13,50,19,73,17,65,22,85,19,73,18,69,"Y",0.0384615384615385,NA,NA,NA,NA,NA,NA,NA,NA
"373",343610255,"SACRAMENTO","PRIVATE","ANTELOPE","PHOENIX SCHOOL, THE",92,84,91,8,9,0,0,0,0,85,92,90,98,90,98,92,100,92,100,90,98,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"374",343610257,"SACRAMENTO","PRIVATE","FOLSOM","PHOENIX SCHOOL, THE",134,97,72,37,28,0,0,0,0,98,73,116,87,110,82,118,88,111,83,104,78,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"375",343610267,"SACRAMENTO","PRIVATE","FOLSOM","PHOENIX SCHOOL, THE",125,108,86,14,11,0,0,3,2,114,91,119,95,117,94,121,97,118,94,116,93,"Y",0.024,NA,NA,NA,NA,NA,NA,NA,NA
"377",343610369,"SACRAMENTO","PRIVATE","SACRAMENTO","MERRYHILL SCHOOL-PARK CITY",83,83,100,0,0,0,0,0,0,83,100,83,100,83,100,83,100,83,100,83,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"384",343610813,"SACRAMENTO","PRIVATE","FOLSOM","CHILDRENS' CREATIVE LEARNING CENTERS",55,36,65,19,35,0,0,0,0,38,69,40,73,37,67,40,73,40,73,36,65,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"386",343610874,"SACRAMENTO","PRIVATE","SACRAMENTO","SACRAMENTO MONTESSORI SCHOOL",54,24,44,25,46,0,0,5,9,42,78,51,94,46,85,54,100,50,93,47,87,"Y",0.0925925925925926,NA,NA,NA,NA,NA,NA,NA,NA
"395",343611566,"SACRAMENTO","HEAD START","SACRAMENTO","WCIC-PLAYMATE CHILD DEVELOPMENT CENTER II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",343611639,"SACRAMENTO","PRIVATE","SACRAMENTO","SACRAMENTO CRISIS NURSERY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",343614232,"SACRAMENTO","PUBLIC","RANCHO CORDOVA","CHILDREN'S FIRST LEARNING CENTER",12,12,100,0,0,0,0,0,0,12,100,12,100,12,100,12,100,12,100,12,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"423",343614421,"SACRAMENTO","PRIVATE","SACRAMENTO","ROSEMONT PLAYSCHOOL, INC., MATHER PLAYSCHOOL",61,51,84,10,16,0,0,0,0,54,89,60,98,60,98,60,98,59,97,56,92,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"429",343614517,"SACRAMENTO","PRIVATE","SACRAMENTO","TINY SCHOLARS ACADEMY",38,25,66,13,34,0,0,0,0,25,66,30,79,30,79,30,79,30,79,30,79,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"433",343614528,"SACRAMENTO","PRIVATE","SACRAMENTO","KREATIVE KIDS LEARNING CENTER",34,28,82,6,18,0,0,0,0,28,82,33,97,32,94,32,94,32,94,31,91,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"435",343614546,"SACRAMENTO","PRIVATE","SACRAMENTO","SHALOM PRESCHOOL",70,50,71,20,29,0,0,0,0,65,93,67,96,62,89,68,97,67,96,61,87,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"436",343614563,"SACRAMENTO","PRIVATE","SACRAMENTO","DISCOVERY TREE SCHOOL-CAPITOL SQ. CHILDREN'S CTR",30,28,93,0,0,0,0,2,7,28,93,28,93,28,93,28,93,28,93,28,93,"Y",0.0666666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"445",343615197,"SACRAMENTO","PRIVATE","RANCHO CORDOVA","GODDARD SCHOOL, THE",94,80,85,13,14,0,0,1,1,83,88,89,95,82,87,89,95,84,89,82,87,"Y",0.0106382978723404,NA,NA,NA,NA,NA,NA,NA,NA
"447",343615335,"SACRAMENTO","PRIVATE","ELK GROVE","KINDERCARE LEARNING CENTER ELK GROVE FLORIN",30,30,100,0,0,0,0,0,0,30,100,30,100,30,100,30,100,30,100,30,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"448",343615377,"SACRAMENTO","PRIVATE","CARMICHAEL","WEE TYMES PLAYSCHOOL",16,16,100,0,0,0,0,0,0,16,100,16,100,16,100,16,100,16,100,16,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"449",343615413,"SACRAMENTO","PRIVATE","GALT","KIDZ COME FIRST CHILD DEVELOPMENT",34,30,88,4,12,0,0,0,0,33,97,30,88,32,94,34,100,30,88,34,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"450",343615432,"SACRAMENTO","PRIVATE","SACRAMENTO","WORLD OF FUN, INC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"452",343615543,"SACRAMENTO","PRIVATE","SACRAMENTO","LIBERTY GARDEN",18,18,100,0,0,0,0,0,0,18,100,18,100,18,100,18,100,18,100,18,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"453",343615586,"SACRAMENTO","PRIVATE","SACRAMENTO","MERRYHILL SCHOOL-KARITSA",95,49,52,46,48,0,0,0,0,49,52,60,63,65,68,83,87,60,63,56,59,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"460",343615903,"SACRAMENTO","PRIVATE","FOLSOM","LA PETITE ACADEMY",26,20,77,6,23,0,0,0,0,23,88,25,96,25,96,26,100,20,77,25,96,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"461",343615965,"SACRAMENTO","PRIVATE","SACRAMENTO","NANNA'S CHILD CARE CENTER",31,13,42,18,58,0,0,0,0,19,61,20,65,22,71,28,90,20,65,21,68,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"464",343616170,"SACRAMENTO","PRIVATE","SACRAMENTO","TUTOR TIME CHILD CARE LEARNING CENTER",73,50,68,23,32,0,0,0,0,50,68,50,68,50,68,50,68,50,68,50,68,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"476",343616446,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","WHISPERING OAK MONTESSORI ACADEMY",48,2,4,37,77,0,0,9,19,29,60,34,71,33,69,39,81,34,71,36,75,"Y",0.1875,NA,NA,NA,NA,NA,NA,NA,NA
"477",343616447,"SACRAMENTO","UNKNOWN","GALT","LEARNING CENTER, THE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",343616543,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","SAN JUAN PRE-SCHOOL",25,19,76,6,24,0,0,0,0,19,76,24,96,24,96,25,100,22,88,23,92,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"486",343616731,"SACRAMENTO","PRIVATE","SACRAMENTO","FIRST STEPS",14,13,93,1,7,0,0,0,0,13,93,14,100,14,100,14,100,14,100,14,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"490",343616835,"SACRAMENTO","HEAD START","SACRAMENTO","EDISON INFANT TODDLER HEAD START SCHOOL READYNESS",162,158,98,3,2,0,0,1,1,159,98,162,100,162,100,161,99,161,99,162,100,"Y",0.00617283950617284,NA,NA,NA,NA,NA,NA,NA,NA
"493",343616878,"SACRAMENTO","PRIVATE","SACRAMENTO","CCLC - CAPITAL CITY",29,11,38,16,55,0,0,2,7,20,69,24,83,24,83,26,90,19,66,18,62,"Y",0.0689655172413793,NA,NA,NA,NA,NA,NA,NA,NA
"495",343616952,"SACRAMENTO","PRIVATE","ELK GROVE","ARISTA PRESCHOOL OF ELK GROVE, THE",60,51,85,9,15,0,0,0,0,56,93,57,95,57,95,60,100,56,93,52,87,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"500",343617198,"SACRAMENTO","PRIVATE","FOLSOM","SMART START CREATIVE LEARNING CENTER OF FOLSOM",57,42,74,0,0,0,0,15,26,42,74,50,88,46,81,50,88,48,84,46,81,"Y",0.263157894736842,NA,NA,NA,NA,NA,NA,NA,NA
"502",343617232,"SACRAMENTO","PRIVATE","SACRAMENTO","TOWN AND COUNTRY PRESCHOOL",37,18,49,19,51,0,0,0,0,21,57,33,89,29,78,33,89,28,76,30,81,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"504",343617260,"SACRAMENTO","PRIVATE","CITRUS HEIGHTS","HOLY FAMILY PRESCHOOL AND DAYCARE CENTER",63,55,87,6,10,0,0,2,3,58,92,62,98,61,97,61,97,59,94,61,97,"Y",0.0317460317460317,NA,NA,NA,NA,NA,NA,NA,NA
"509",343617317,"SACRAMENTO","PRIVATE","CARMICHAEL","PHOENIX SCHOOLS, THE",34,34,100,0,0,0,0,0,0,34,100,34,100,34,100,34,100,34,100,34,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"521",343617513,"SACRAMENTO","PRIVATE","SACRAMENTO","CIRCLE OF FRIENDS CHILD CARE CENTER",14,13,93,1,7,0,0,0,0,13,93,14,100,14,100,14,100,14,100,14,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"538",515402561,"SUTTER","PRIVATE","YUBA CITY","CREATIVE KIDS - INFANT",48,43,90,4,8,0,0,1,2,43,90,45,94,47,98,47,98,43,90,47,98,"Y",0.0208333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"566",570311281,"YOLO","PRIVATE","DAVIS","MERRYHILL SCHOOL-LA VIDA",86,84,98,1,1,0,0,1,1,84,98,86,100,85,99,85,99,86,100,86,100,"Y",0.0116279069767442,NA,NA,NA,NA,NA,NA,NA,NA
"567",570311305,"YOLO","PUBLIC","MADISON","MADISON MIGRANT CHILD DEVELOPMENT CENTER - INFANTS PRESCHOOL 570306436",31,31,100,0,0,0,0,0,0,31,100,31,100,31,100,31,100,31,100,31,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"568",570311412,"YOLO","PUBLIC","DAVIS","CHILD AND FAMILY STUDY CENTER",64,44,69,14,22,0,0,6,9,55,86,54,84,52,81,56,88,46,72,52,81,"Y",0.09375,NA,NA,NA,NA,NA,NA,NA,NA
"569",570311582,"YOLO","PRIVATE","DAVIS","RUSSELL PARK CHILD DEVELOPMENT CENTER INFANTS",65,64,98,1,2,0,0,0,0,64,98,64,98,65,100,65,100,65,100,65,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"570",570311720,"YOLO","PRIVATE","WOODLAND","IN - R - CARE",18,17,94,1,6,0,0,0,0,17,94,18,100,18,100,18,100,18,100,18,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"572",573600378,"YOLO","UNKNOWN","WOODLAND","ALPHABET SOUP CHILDCARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",573601192,"YOLO","HEAD START","WOODLAND","WOODLAND MIGRANT HEAD START-INF",41,41,100,0,0,0,0,0,0,41,100,41,100,41,100,41,100,41,100,41,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"576",573601220,"YOLO","PUBLIC","DIXON","DAVIS MIGRANT CDC",20,19,95,1,5,0,0,0,0,20,100,19,95,20,100,20,100,20,100,20,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"583",573604088,"YOLO","PRIVATE","WOODLAND","HOLY ROSARY PRESCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",573609767,"YOLO","UNKNOWN","DAVIS","YOLO CRISIS NURSERY-FAMILIES FIRST INC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",573614133,"YOLO","HEAD START","WEST SACRAMENTO","YCOE HEAD START - EARLY HEAD START ALYCE NORMAN CENTER",38,36,95,1,3,0,0,1,3,36,95,37,97,37,97,37,97,37,97,37,97,"Y",0.0263157894736842,NA,NA,NA,NA,NA,NA,NA,NA
"604",573615111,"YOLO","PRIVATE","DAVIS","HUTCHISON CHILD DEVELOPMENT CENTER",60,38,63,20,33,1,2,1,2,43,72,54,90,46,77,48,80,51,85,47,78,"Y",0.0166666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"611",573615477,"YOLO","PRIVATE","WOODLAND","ST. JOHN'S PRESCHOOL",52,39,75,13,25,0,0,0,0,48,92,39,75,48,92,52,100,46,88,50,96,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"638",585405210,"YUBA","UNKNOWN","OLIVEHURST","FUSION PRESCHOOL ACADEMY-INFANT PROGRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"640",585405937,"YUBA","PRIVATE","MARYSVILLE","FUSIONPSACADEMYIIILITTLECONEZONE",28,21,75,5,18,0,0,2,7,21,75,23,82,25,89,27,96,25,89,26,93,"Y",0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
