"","FacNum","County","Type","City.x","Name.x","Total","UptodateTot","UptodatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HEPBTot","HEPBPct","VariTot","VariPct","Report","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"22",93610277,"EL DORADO","PRIVATE","EL DORADO HILLS","GHS ACADEMY-JR. KINDERGARTEN",14,13,93,1,7,0,0,0,0,13,93,14,100,14,100,14,100,14,100,14,100,"Y",0,15,"Licensed","GHS ACADEMY-JR. KINDERGARTEN","1060 SUNCAST LANE","EL DORADO HILLS","CA",95762,"(916) 933-0100"
"23",93610400,"EL DORADO","HEAD START","SOUTH LAKE TAHOE","AL TAHOE SCHOOL HEAD START",73,71,97,2,3,0,0,0,0,72,99,72,99,73,100,72,99,72,99,73,100,"Y",0,93,"Licensed","AL TAHOE SCHOOL HEAD START","1100 LYONS AVE.","SOUTH LAKE TAHOE","CA",96150,"(530) 541-0284"
"24",93610482,"EL DORADO","PUBLIC","S. LAKE TAHOE","TAHOE PARENTS NURSERY SCHOOL",23,17,74,0,0,0,0,6,26,17,74,18,78,17,74,18,78,18,78,17,74,"Y",0.260869565217391,40,"Licensed","TAHOE PARENTS NURSERY SCHOOL","1100 LYONS AVE.","S. LAKE TAHOE","CA",96150,"(530) 541-8767"
"25",93610853,"EL DORADO","HEAD START","PLACERVILLE","GOLD OAK PRESCHOOL",20,18,90,2,10,0,0,0,0,18,90,19,95,20,100,20,100,19,95,20,100,"Y",0,22,"Licensed","GOLD OAK PRESCHOOL","3171 PLEASANT VALLEY RD","PLACERVILLE","CA",95667,"(530) 622-9331"
"26",93612133,"EL DORADO","HEAD START","SHINGLE SPRINGS","BUCKEYE PRESCHOOL",21,18,86,1,5,0,0,2,10,18,86,19,90,19,90,19,90,19,90,19,90,"Y",0.0952380952380952,24,"Licensed","BUCKEYE PRESCHOOL","4561 BUCKEYE ROAD","SHINGLE SPRINGS","CA",95682,"(530) 677-7216"
"27",93612217,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","UNDER THE MAGIC PINE TREE",56,42,75,12,21,0,0,2,4,42,75,49,88,49,88,54,96,49,88,48,86,"Y",0.0357142857142857,40,"Licensed","UNDER THE MAGIC PINE TREE","2111 SOUTH AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 541-4848"
"28",93614210,"EL DORADO","PRIVATE","CAMERON PARK","INCREDIBLE KIDS",30,22,73,7,23,0,0,1,3,26,87,28,93,28,93,29,97,23,77,28,93,"Y",0.0333333333333333,41,"Licensed","INCREDIBLE KIDS","3192 COUNTRY CLUB DRIVE","CAMERON PARK","CA",95682,"(530) 672-0214"
"29",93614387,"EL DORADO","PUBLIC","SOUTH LAKE TAHOE","TAHOE VALLEY STATE PRESCHOOL",23,20,87,1,4,0,0,2,9,21,91,21,91,20,87,21,91,21,91,20,87,"Y",0.0869565217391304,24,"Licensed","TAHOE VALLEY STATE PRESCHOOL","943 TAHOE ISLAND DRIVE","SOUTH LAKE TAHOE","CA",96150,"(530) 543-2360"
"30",93614561,"EL DORADO","PRIVATE","PLACERVILLE","HIS KIDS CHRISTIAN PRESCHOOL",55,55,100,0,0,0,0,0,0,55,100,55,100,55,100,55,100,55,100,55,100,"Y",0,30,"Licensed","HIS KIDS CHRISTIAN PRESCHOOL","6189 MOTHER LOAD DR.","PLACERVILLE","CA",95667,"(530) 626-2575"
"31",93614599,"EL DORADO","PUBLIC","EL DORADO HILLS","WILLIAM BROOKS PRESCHOOL",20,18,90,1,5,0,0,1,5,19,95,20,100,20,100,20,100,20,100,19,95,"Y",0.05,24,"Licensed","WILLIAM BROOKS PRESCHOOL","3610 PARK DRIVE","EL DORADO HILLS","CA",95762,"(530) 622-7130"
"32",93615280,"EL DORADO","PRIVATE","EL DORADO HILLS","BUSY BEES PRESCHOOL, INC.",100,91,91,6,6,0,0,3,3,95,95,96,96,98,98,100,100,97,97,96,96,"Y",0.03,36,"Licensed","BUSY BEES PRESCHOOL","1261 HAWKS FLIGHT CT. STE. F","EL DORADO HILLS","CA",95762,"(916) 933-3797"
"33",93615283,"EL DORADO","PUBLIC","EL DORADO HILLS","JACKSON PRESCHOOL",18,17,94,0,0,0,0,1,6,17,94,17,94,17,94,17,94,17,94,17,94,"Y",0.0555555555555556,24,"Licensed","JACKSON PRESCHOOL","2561 FRANCISCO DRIVE","EL DORADO HILLS","CA",95762,"(916) 677-2875"
"34",93615643,"EL DORADO","PRIVATE","GARDEN VALLEY","MISS MONICA'S GARDEN VALLEY PRESCHOOL AND DAYCARE",10,7,70,3,30,0,0,0,0,7,70,9,90,9,90,10,100,8,80,9,90,"Y",0,15,"Licensed","MISS MONICAS GARDEN VALLEY PRESCHOOL AND DAYCARE","4671 MARSHALL ROAD","GARDEN VALLEY","CA",95633,"(530) 333-1253"
"35",93615934,"EL DORADO","PRIVATE","PLACERVILLE","CEDAR SPRINGS WALDORF SCHOOL",17,2,12,4,24,0,0,11,65,9,53,9,53,8,47,9,53,7,41,7,41,"Y",0.647058823529412,60,"Licensed","CEDAR SPRINGS WALDORF SCHOOL","6029 GOLD MEADOWS ROAD","PLACERVILLE","CA",95667,"(530) 642-9903"
"36",93615992,"EL DORADO","PRIVATE","EL DORADO HILLS","FROGGIE FRONTIER",65,60,92,0,0,0,0,5,8,62,95,62,95,62,95,63,97,62,95,62,95,"Y",0.0769230769230769,36,"Licensed","FROGGIE FRONTIER","1001 OLSON LANE","EL DORADO HILLS","CA",95762,"(916) 933-3714"
"37",93616106,"EL DORADO","PRIVATE","SHINGLE SPRINGS","ADVENTURE BEGINS, THE",25,19,76,6,24,0,0,0,0,21,84,21,84,22,88,22,88,22,88,22,88,"Y",0,35,"Licensed","ADVENTURE BEGINS","3841 PONDEROSA ROAD","SHINGLE SPRINGS","CA",95682,"(530) 676-4415"
"38",93616215,"EL DORADO","PRIVATE","DIAMOND SPRINGS","COUNTRY KIDS DAYCARE AND PRESCHOOL",23,18,78,5,22,0,0,0,0,18,78,21,91,21,91,23,100,20,87,21,91,"Y",0,28,"Licensed","COUNTRY KIDS DAYCARE & PRESCHOOL","610 PLEASANT VALLEY ROAD","DIAMOND SPRINGS","CA",95619,"(530) 642-1630"
"39",93616601,"EL DORADO","PRIVATE","EL DORADO HILLS","IT'S KIDS TIME",16,16,100,0,0,0,0,0,0,16,100,16,100,16,100,16,100,16,100,16,100,"Y",0,37,"Licensed","ITS KIDS TIME","4363 TOWN CENTER BLVD. #110","EL DORADO HILLS","CA",95762,"(916) 932-8463"
"40",93616621,"EL DORADO","PRIVATE","RESCUE","GREEN VALLEY PRESCHOOL",20,16,80,4,20,0,0,0,0,19,95,19,95,19,95,18,90,17,85,19,95,"Y",0,21,"Licensed","GREEN VALLEY PRESCHOOL","2380 BASS LAKE ROAD","RESCUE","CA",95672,"(530) 295-2293"
"41",93616691,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","TAHOE CENTER",18,16,89,0,0,1,6,1,6,17,94,17,94,16,89,17,94,16,89,17,94,"Y",0.0555555555555556,34,"Licensed","TAHOE CENTER","1286 KYBURZ AVENUE","SOUTH LAKE TAHOE","CA",96158,"(530) 543-8242"
"42",93616872,"EL DORADO","PRIVATE","EL DORADO HILLS","MADRONE MONTESSORI SCHOOL, LLC",42,33,79,0,0,0,0,9,21,33,79,33,79,33,79,33,79,33,79,33,79,"Y",0.214285714285714,74,"Licensed","MADRONE MONTESSORI SCHOOL","5001 WINDPLAY DRIVE #1","EL DORADO HILLS","CA",95762,"(530) 676-4110"
"43",93616919,"EL DORADO","PRIVATE","EL DORADO HILLS","MARBLE VALLEY PRESCHOOL",16,13,81,1,6,0,0,2,13,14,88,14,88,13,81,14,88,14,88,14,88,"Y",0.125,9,"Licensed","MARBLE VALLEY PRESCHOOL","5005 HILLSDALE CIRCLE","EL DORADO HILLS","CA",95762,"(916) 933-5122"
"44",93617229,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","JUBILEE KID'S ACADEMY",44,37,84,5,11,0,0,2,5,40,91,39,89,42,95,42,95,37,84,42,95,"Y",0.0454545454545455,53,"Licensed","JUBILEE KIDS ACADEMY","2249 HELEN AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 541-5411"
"45",310300416,"PLACER","PRIVATE","LOOMIS","LOOMIS COMMUNITY PRESCHOOL CO-OP",28,24,86,4,14,0,0,0,0,27,96,26,93,26,93,28,100,24,86,28,100,"Y",0,32,"Licensed","LOOMIS COMMUNITY NURSERY CO-OP","6414 BRACE ROAD","LOOMIS","CA",95650,"(916) 652-7842"
"46",310300569,"PLACER","PRIVATE","ROSEVILLE","ROSEVILLE COMMUNITY PRESCHOOL",95,70,74,15,16,0,0,10,11,79,83,77,81,77,81,81,85,75,79,77,81,"Y",0.105263157894737,27,"Licensed","ROSEVILLE COOP PRESCHOOL","50 CORPORATION YARD RD. GATE J","ROSEVILLE","CA",95678,"(916) 786-9536"
"47",310300688,"PLACER","PRIVATE","TAHOE CITY","TAHOE COMMUNITY NURSERY SCHOOL",30,20,67,8,27,1,3,1,3,26,87,25,83,25,83,28,93,21,70,20,67,"Y",0.0333333333333333,29,"Licensed","TAHOE COMMUNITY NURSERY SCHOOL","3125 NORTH LAKE BOULEVARD","TAHOE CITY","CA",96145,"(530) 583-3331"
"48",310300728,"PLACER","PRIVATE","AUBURN","TUTOR TOTTER, INC.",18,14,78,0,0,0,0,4,22,15,83,15,83,14,78,16,89,15,83,15,83,"Y",0.222222222222222,29,"Licensed","TUTOR TOTTER","220 CHRISTIAN VALLEY ROAD","AUBURN","CA",95602,"(530) 878-8394"
"49",310305284,"PLACER","HEAD START","FORESTHILL","KIDZKOUNT CHILD DEVELOPMENT CENTER, FORESTHILL",20,16,80,1,5,0,0,3,15,16,80,16,80,17,85,17,85,16,80,17,85,"Y",0.15,24,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","24745 HARRISON ST.","FORESTHILL","CA",95631,"(530) 367-2847"
"50",310306144,"PLACER","PRIVATE","FORESTHILL","FOREST COTTAGE PRESCHOOL AND CHILD CARE CENTER",27,23,85,0,0,0,0,4,15,23,85,23,85,23,85,23,85,23,85,23,85,"Y",0.148148148148148,66,"Licensed","FOREST COTTAGE PRESCHOOL & CHILD CARE CENTER","20030 SPRING GARDEN RD","FORESTHILL","CA",95631,"(530) 367-2103"
"51",310306371,"PLACER","HEAD START","CLIPPER GAP","KIDZKOUNT CHILD DEVELOPMENT CENTER, CLIPPER CAP",20,20,100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,"Y",0,24,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","15820 APPLEGATE ROAD","CLIPPER GAP","CA",95703,"(530) 878-1600"
"52",310306469,"PLACER","HEAD START","ROSEVILLE","KIDZKOUNT CHILD DEVELOPMENT CENTER, ROSEVILLE 2",40,33,83,1,3,0,0,6,15,33,83,34,85,34,85,34,85,34,85,34,85,"Y",0.15,40,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","201 NORTH GRANT","ROSEVILLE","CA",95678,"(916) 783-5527"
"53",310306626,"PLACER","PRIVATE","ROSEVILLE","MONTESSORI HOUSE OF CHILDREN",23,20,87,2,9,1,4,0,0,21,91,23,100,23,100,23,100,23,100,22,96,"Y",0,24,"Licensed","MONTESSORI HOUSE OF CHILDREN","314 FOLSOM RD.","ROSEVILLE","CA",95678,"(916) 786-6533"
"54",310308261,"PLACER","PRIVATE","AUBURN","BELL'S PRESCHOOL AND CHILD CARE CENTER",39,37,95,1,3,0,0,1,3,37,95,37,95,38,97,38,97,37,95,38,97,"Y",0.0256410256410256,36,"Licensed","BELLS PRESCHOOL AND CHILD CARE CENTER","10810 ATWOOD RD","AUBURN","CA",95603,"(530) 823-9860"
"55",310308572,"PLACER","PRIVATE","GRANITE BAY","GRANITE BAY CHRISTIAN PRESCHOOL",25,17,68,8,32,0,0,0,0,24,96,25,100,25,100,24,96,21,84,23,92,"Y",0,48,"Licensed","GRANITE BAY CHRISTIAN PRESCHOOL","6365 DOUGLAS BLVD","GRANITE BAY","CA",95746,"(916) 791-4661"
"56",310310788,"PLACER","PRIVATE","ROCKLIN","MERRYHILL SCHOOL-ROCKLIN",82,73,89,6,7,0,0,3,4,75,91,79,96,75,91,78,95,76,93,77,94,"Y",0.0365853658536585,94,"Licensed","MERRYHILL SCHOOL-ROCKLIN","4149 ROCKLIN ROAD","ROCKLIN","CA",95677,"(916) 624-4511"
"57",310310851,"PLACER","PRIVATE","AUBURN","A STAR IS BORN",40,36,90,4,10,0,0,0,0,37,93,38,95,37,93,39,98,38,95,39,98,"Y",0,48,"Licensed","A STAR IS BORN","206 LINCOLN WAY","AUBURN","CA",95603,"(530) 823-7827"
"58",310312069,"PLACER","PRIVATE","AUBURN","AUBURN DISCOVERY MONTESSORI SCHOOL",47,38,81,0,0,0,0,9,19,38,81,38,81,38,81,38,81,38,81,38,81,"Y",0.191489361702128,75,"Licensed","AUBURN DISCOVERY MONTESSORI SCHOOL","1273 HIGH ST","AUBURN","CA",95603,"(530) 823-9577"
"59",310312080,"PLACER","PRIVATE","ROCKLIN","KINDERCARE LEARNING CENTER - MARLEE (PS)",99,97,98,2,2,0,0,0,0,99,100,98,99,98,99,98,99,97,98,98,99,"Y",0,76,"Licensed","KINDERCARE LEARNING CENTER - MARLEE (PS)","3431 MARLEE WY","ROCKLIN","CA",95677,"(916) 624-7831"
"60",310312323,"PLACER","PRIVATE","LINCOLN","RAINBOW JUNCTION PRESCHOOL AND DAY CARE",24,24,100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"Y",0,40,"Licensed","RAINBOW JUNCTION PRESCHOOL AND DAY CARE","595 A STREET","LINCOLN","CA",95648,"(916) 645-1099"
"61",310313323,"PLACER","PRIVATE","ROSEVILLE","AMERICAN MONTESSORI ACADEMY",84,81,96,1,1,0,0,2,2,81,96,81,96,82,98,82,98,81,96,82,98,"Y",0.0238095238095238,128,"Licensed","AMERICAN MONTESSORI ACADEMY","1050 DOUGLAS BLVD","ROSEVILLE","CA",95678,"(916) 786-3636"
"62",310315208,"PLACER","PRIVATE","LINCOLN","KIDDY CORNER PRESCHOOL/DAY CARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,30,"Licensed","KIDDY CORNER PRESCHOOL/DAY CARE","1390 - 5TH STREET","LINCOLN","CA",95648,"(916) 645-2643"
"63",310316182,"PLACER","PRIVATE","LOOMIS","LITTLE ORCHARD PRESCHOOL",72,50,69,11,15,0,0,11,15,66,92,66,92,65,90,68,94,63,88,65,90,"Y",0.152777777777778,43,"Licensed","LITTLE ORCHARD PRESCHOOL","5895 BRACE ROAD","LOOMIS","CA",95650,"(916) 652-4973"
"64",310317222,"PLACER","PRIVATE","AUBURN","SIERRA PRESCHOOL NURSERY",26,19,73,1,4,0,0,6,23,22,85,22,85,21,81,23,88,19,73,20,77,"Y",0.230769230769231,18,"Licensed","SIERRA PRESCHOOL NURSERY","13315 LUTHER RD","AUBURN","CA",95603,"(530) 823-3557"
"65",310318276,"PLACER","HEAD START","LINCOLN","KIDZKOUNT CHILD DEVELOPMENT CENTER, CC COPPIN",40,37,93,1,3,0,0,2,5,37,93,38,95,38,95,38,95,38,95,38,95,"Y",0.05,25,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","150 E 12TH STREET","LINCOLN","CA",95648,"(916) 645-1051"
"66",310318500,"PLACER","PUBLIC","KINGS BEACH","KINGS BEACH STATE PRESCHOOL",36,31,86,4,11,0,0,1,3,32,89,35,97,35,97,36,100,35,97,34,94,"Y",0.0277777777777778,48,"Licensed","KINGS BEACH STATE PRESCHOOL","8125 STEELHEAD","KINGS BEACH","CA",96143,"(530) 546-8339"
"67",310318640,"PLACER","PRIVATE","ROSEVILLE","SUNRISE MONTESSORI PRESCHOOL",62,31,50,24,39,0,0,7,11,50,81,56,90,54,87,55,89,49,79,55,89,"Y",0.112903225806452,41,"Licensed","SUNRISE MONTESSORI PRESCHOOL","8449 SUNRISE BLVD","ROSEVILLE","CA",95661,"(916) 722-7772"
"68",310319278,"PLACER","PRIVATE","ROSEVILLE","GRANITE BAY MONTESSORI - CHILDREN'S HOUSE",48,36,75,4,8,0,0,8,17,40,83,40,83,40,83,40,83,36,75,40,83,"Y",0.166666666666667,56,"Licensed","GRANITE BAY MONTESSORI - CHILDRENS HOUSE","9330 SIERRA COLLEGE BLVD","ROSEVILLE","CA",95661,"(916) 791-7849"
"69",310319692,"PLACER","PUBLIC","ROSEVILLE","WOODBRIDGE STATE PRESCHOOL",48,44,92,3,6,0,0,1,2,44,92,47,98,47,98,47,98,46,96,47,98,"Y",0.0208333333333333,24,"Licensed","WOODBRIDGE STATE PRESCHOOL","515 NILES STREET","ROSEVILLE","CA",95678,"(916) 773-2518"
"70",310320200,"PLACER","HEAD START","LOOMIS","KIDZKOUNT CHILD DEVELOPMENT CENTER, LOOMIS",20,18,90,0,0,1,5,1,5,19,95,19,95,19,95,18,90,19,95,19,95,"Y",0.05,25,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","5645 ROCKLIN RD","LOOMIS","CA",95650,"(916) 624-9652"
"71",310321604,"PLACER","PRIVATE","MEADOW VISTA","KIDS PLACE, THE",32,26,81,5,16,0,0,1,3,31,97,31,97,29,91,31,97,27,84,27,84,"Y",0.03125,30,"Licensed","KIDS PLACE","956 MEADOWGATE ROAD","MEADOW VISTA","CA",95722,"(530) 878-7875"
"72",313600397,"PLACER","PRIVATE","AUBURN","ST. JOSEPH PRESCHOOL",34,33,97,1,3,0,0,0,0,33,97,34,100,34,100,34,100,34,100,34,100,"Y",0,50,"Licensed","ST. JOSEPH PRESCHOOL","11610 ATWOOD RD","AUBURN","CA",95603,"(530) 823-1822"
"73",313601200,"PLACER","PRIVATE","ROSEVILLE","GRANITE BAY SCHOOLHOUSE",30,29,97,1,3,0,0,0,0,30,100,30,100,30,100,30,100,30,100,29,97,"Y",0,60,"Licensed","GRANITE BAY SCHOOLHOUSE","8265 SIERRA COLLEGE BLVD. #322","ROSEVILLE","CA",95661,"(916) 791-2999"
"74",313602230,"PLACER","HEAD START","ROSEVILLE","KIDZKOUNT CHILD DEVELOPMENT CENTER, ROSEVILLE 1",20,18,90,0,0,0,0,2,10,18,90,18,90,18,90,18,90,18,90,18,90,"Y",0.1,27,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","1505 SIERAA GARDENS DRIVE","ROSEVILLE","CA",95661,"(916) 781-9836"
"75",313602233,"PLACER","HEAD START","KINGS BEACH","KIDZKOUNT CHILD DEVELOPMENT CENTER, KINGS BEACH",10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,10,100,"Y",0,27,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","8446 CUTTHROAT AVE","KINGS BEACH","CA",96143,"(916) 546-9076"
"76",313602274,"PLACER","HEAD START","AUBURN","KIDZKOUNT CHILD DEVELOPMENT CENTER, AUBURN",20,20,100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,"Y",0,23,"Licensed","KIDZKOUNT CHILD DEVELOPMENT CENTER","1166 HIGH STREET","AUBURN","CA",95603,"(530) 886-4104"
"77",313603252,"PLACER","PRIVATE","ROSEVILLE","CENTERPOINT CHRISTIAN PRESCHOOL",31,27,87,1,3,0,0,3,10,30,97,28,90,28,90,30,97,28,90,30,97,"Y",0.0967741935483871,72,"Licensed","CENTERPOINT CHRISTIAN PRESCHOOL","515 SUNRISE AVENUE","ROSEVILLE","CA",95661,"(916) 782-9443"
