"","SchCode","COUNTY","PubPriv","District.x","CITY","Name","Total","UpToDateTot","UpToDatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HEPBTot","HEPBPct","VariTot","VariPct","REPORTED","PBEPctCalc","CDSCode","County","District.y","School","Street","City","Zip","State","Phone","AdmFName1","AdmLName1","AdmEmail1"
"41",111757,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","CALIFORNIA MONTESSORI PROJECT-CAPITOL CAMPUS",49,41,84,2,4,0,0,6,12,41,84,41,84,43,88,42,86,42,86,"Y",0.122448979591837,"34674390111757","Sacramento","Sacramento City Unified","California Montessori Project - Capitol Campus","2635 Chestnut Hill Drive","Sacramento","95826","CA","(916) 325-0910","Gary","Bowman","gbowman@cacmp.org"
"42",112169,"SACRAMENTO","PUBLIC","SAN JUAN UNIFIED","CARMICHAEL","CALIFORNIA MONTESSORI PROJECT-SAN JUAN CAMPUSES",190,141,74,28,15,1,1,20,11,158,83,148,78,148,78,162,85,165,87,"Y",0.105263157894737,"34674470112169","Sacramento","San Juan Unified","California Montessori Project-San Juan Campus","5330A Gibbons Drive, Suite 700","Carmichael","95608-2117","CA","(916) 971-2432","Kim","Aldridge","kaldridge@cacmp.org"
"43",113068,"PLACER","PUBLIC","WESTERN PLACER UNIFIED","LINCOLN","LINCOLN CROSSING",130,128,98,0,0,0,0,2,2,128,98,128,98,128,98,128,98,128,98,"Y",0.0153846153846154,"31669510113068","Placer","Western Placer Unified","Lincoln Crossing Elementary","635 Groveland Lane","Lincoln","95648","CA","(916) 434-5292","Kevin","Kurtz","kkurtz@wpusd.k12.ca.us"
"44",113134,"SUTTER","PUBLIC","YUBA CITY UNIFIED","YUBA CITY","RIVERBEND ELEM",86,84,98,0,0,0,0,2,2,84,98,84,98,84,98,84,98,84,98,"Y",0.0232558139534884,"51714640113134","Sutter","Yuba City Unified","Riverbend Elementary","301 Stewart Road","Yuba City","95991","CA","(530) 822-3100","Tom","Walters","twalters@ycusd.k12.ca.us"
"45",113621,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","FOLSOM","RUSSELL RANCH ELEMENTARY",94,73,78,20,21,0,0,1,1,77,82,73,78,75,80,87,93,88,94,"Y",0.0106382978723404,"34673300113621","Sacramento","Folsom-Cordova Unified","Russell Ranch Elementary","375 Dry Creek Road","Folsom","95630-6186","CA","(916) 294-2430","Anthony","Peterson","tpeterso@fcusd.org"
"46",113878,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","SACRAMENTO","HIGHER LEARNING ACADEMY",22,10,45,9,41,0,0,3,14,13,59,12,55,11,50,15,68,16,73,"Y",0.136363636363636,"34765050113878","Sacramento","Twin Rivers Unified","Higher Learning Academy","2625 Plover Street","Sacramento","95815","CA","(916) 286-5183","Anjam","Khan","anjam.khan@twinriversusd.org"
"47",114371,"PLACER","PUBLIC","ROCKLIN UNIFIED","ROCKLIN","ROCKLIN ACADEMY AT MEYERS STREET",24,24,100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,"Y",0,"31750850114371","Placer","Rocklin Unified","Rocklin Academy at Meyers Street","5035 Meyers Street","Rocklin","95677-2811","CA","(916) 632-6580","Jillayne","Antoon","jantoon@rocklinacademy.org"
"48",114652,"YUBA","PUBLIC","PLUMAS LAKE ELEMENTARY","PLUMAS LAKE","COBBLESTONE ELEM.",57,51,89,3,5,1,2,2,4,51,89,51,89,51,89,54,95,54,95,"Y",0.0350877192982456,"58727440114652","Yuba","Plumas Lake Elementary","Cobblestone Elementary","1718 Churchill Way","Plumas Lake","95961-9144","CA","(530) 634-9723","Marcie","Nichols","mnichols@plusd.org"
"49",114660,"SACRAMENTO","PUBLIC","RIVER DELTA JOINT UNIFIED","CLARKSBURG","DELTA ELEMENTARY CHARTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"34674130114660","Sacramento","River Delta Joint Unified","Delta Elementary Charter","36230 North School Street","Clarksburg","95612","CA","(916) 744-1200","Steve","Lewis","slewis@deltacharter.org"
"50",114702,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","RANCHO CORDOVA","SUNRISE ELEM.",143,130,91,8,6,1,1,4,3,136,95,135,94,132,92,136,95,138,97,"Y",0.027972027972028,"34673140114702","Sacramento","Elk Grove Unified","Sunrise Elementary","11821 Cobble Brook Drive","Rancho Cordova","95742-8008","CA","(916) 985-4350","Judy","Hunt-Brown","jhuntbro@egusd.net"
"51",114710,"YOLO","PUBLIC","WASHINGTON UNIFIED","WEST SACRAMENTO","STONEGATE ELEM",81,75,93,4,5,0,0,2,2,76,94,76,94,76,94,78,96,78,96,"Y",0.0246913580246914,"57726940114710","Yolo","Washington Unified","Stonegate Elementary","2500 La Jolla Street","West Sacramento","95691-4947","CA","(916) 375-7600","Rafael","Soler","rsoler@wusd.k12.ca.us"
"52",114876,"EL DORADO","PUBLIC","SBC - ASPIRE PUBLIC SCHOOLS","STOCKTON","ASPIRE PORT CITY ACADEMY",72,72,100,0,0,0,0,0,0,72,100,72,100,72,100,72,100,72,100,"Y",0,"39686760114876","San Joaquin","Stockton Unified","Aspire Port City Academy","2040 West Lane","Stockton","95205-2129","CA","(209) 943-2389","Shelby","Scheideman","delphine.sherman@aspirepublicschools.org"
"53",114884,"EL DORADO","PUBLIC","SBC - ASPIRE PUBLIC SCHOOLS","HUNTINGTON PARK","ASPIRE JUNIOR COLLEGIATE ACADEMY",44,44,100,0,0,0,0,0,0,44,100,44,100,44,100,44,100,44,100,"Y",0,"19647330114884","Los Angeles","Los Angeles Unified","Aspire Junior Collegiate Academy","6724 South Alameda Street","Huntington Park","90255-4139","CA","(323) 583-5421","Roberta","Benjamin","roberta.benjamin@aspirepublicschools.org"
"54",114983,"SACRAMENTO","PUBLIC","SAN JUAN UNIFIED","ORANGEVALE","GOLDEN VALLEY CHARTER SCHOOL OF SACRAMENTO",59,18,31,22,37,0,0,19,32,27,46,26,44,26,44,31,53,34,58,"Y",0.322033898305085,"34674470114983","Sacramento","San Juan Unified","Golden Valley Charter School of Sacramento","9601 Lake Natoma Drive","Orangevale","95662-5022","CA","(916) 987-6141","Deborah","Lenny","dlenny@goldenvalleycharter.org"
"55",115675,"PLACER","PUBLIC","PLACER COUNTY OFFICE OF EDUCATION","MEADOW VISTA","ILEARN ACADEMY",13,9,69,1,8,0,0,3,23,9,69,9,69,9,69,9,69,9,69,"Y",0.230769230769231,"31103140115675","Placer","Placer County Office of Education","iLearn Academy","16825 Placer Hills Road","Meadow Vista","95722","CA","","","",""
"56",116624,"PLACER","PUBLIC","ROSEVILLE CITY ELEMENTARY","ROSEVILLE","JUNCTION ELEMENTARY",157,146,93,6,4,0,0,5,3,147,94,148,94,148,94,150,96,152,97,"Y",0.0318471337579618,"31669100116624","Placer","Roseville City Elementary","Junction Elementary","2150 Ellison Drive","Roseville","95747","CA","(916) 771-1860","Carrie","Vincent","cvincent@rcsdk8.org"
"57",116806,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","H. ALLEN HIGHT ELEMENTARY",106,78,74,27,25,0,0,1,1,83,78,83,78,82,77,96,91,100,94,"Y",0.00943396226415094,"34752830116806","Sacramento","Natomas Unified","H. Allen Hight Elementary","3200 North Park Drive","Sacramento","95835","CA","(916) 567-5700","Hervey","Taylor","htaylor@natomas.k12.ca.us"
"58",117150,"PLACER","PUBLIC","LOOMIS UNION ELEMENTARY","LOOMIS","LOOMIS BASIN CHARTER",40,37,93,1,3,0,0,2,5,37,93,38,95,38,95,38,95,38,95,"Y",0.05,"31668450117150","Placer","Loomis Union Elementary","Loomis Basin Charter","5438 Laird Road","Loomis","95650","CA","(916) 652-2642","Erika","Sloane","esloane@loomis-usd.k12.ca.us"
"59",117879,"PLACER","PUBLIC","ROCKLIN UNIFIED","ROCKLIN","MARIA MONTESSORI CHARTER ACADEMY",33,26,79,4,12,0,0,3,9,26,79,29,88,29,88,29,88,30,91,"Y",0.0909090909090909,"31750850117879","Placer","Rocklin Unified","Maria Montessori Charter Academy","1850 Wildcat Boulevard","Rocklin","95765-5471","CA","(916) 630-1510","Brent","Boothby","brent@mmcharter.org"
"60",119214,"PLACER","PUBLIC","COLFAX ELEMENTARY","COLFAX","CORE PLACER CHARTER",10,3,30,2,20,0,0,5,50,5,50,4,40,5,50,5,50,5,50,"Y",0.5,"31667950119214","Placer","Colfax Elementary","CORE Placer Charter","1033 South Auburn Street","Colfax","95713","CA","(530) 346-8340","Kathryn","Peak","kathrynpeakcore@gmail.com"
"61",119362,"YUBA","PUBLIC","MARYSVILLE JOINT UNIFIED","MARYSVILLE","EDGEWATER ELEMENTARY",76,67,88,4,5,0,0,5,7,70,92,70,92,69,91,69,91,70,92,"Y",0.0657894736842105,"58727360119362","Yuba","Marysville Joint Unified","Edgewater Elementary","5715 Oakwood Drive","Marysville","95901","CA","(530) 741-0866","Lori","Guy","lguy@mjusd.com"
"62",119420,"SACRAMENTO","PUBLIC","GALT JOINT UNION ELEMENTARY","GALT","VERNON E. GREER ELEMENTARY",71,65,92,2,3,0,0,4,6,65,92,66,93,66,93,67,94,67,94,"Y",0.0563380281690141,"34673480119420","Sacramento","Galt Joint Union Elementary","Vernon E. Greer Elementary","248 West A Street","Galt","95632-2449","CA","(209) 745-2641","Emily","Peckham","epeckham@galt.k12.ca.us"
"63",120105,"PLACER","PUBLIC","NEWCASTLE ELEMENTARY","TAHOE CITY","CREEKSIDE COOPERATIVE CHARTER",22,9,41,0,0,0,0,13,59,9,41,9,41,9,41,9,41,9,41,"Y",0.590909090909091,"31668520120105","Placer","Newcastle Elementary","Creekside Charter","1916 Chamonix Pl","Olympic Valley","96146","CA","(530) 581-1036","Camille","Taylor","ctaylor@creeksidecooperative.org"
"64",120469,"EL DORADO","PUBLIC","SBC - ASPIRE PUBLIC SCHOOLS","SACRAMENTO","ASPIRE ALEXANDER TWILIGHT COLLEGE PREPARATORY ACAD",69,65,94,3,4,0,0,1,1,66,96,67,97,68,99,65,94,67,97,"Y",0.0144927536231884,"34674470120469","Sacramento","San Juan Unified","Aspire Alexander Twilight College Preparatory Academy","2360 El Camino Avenue","Sacramento","95821","CA","(916) 979-1788","Paris","Williams","delphine.sherman@aspirepublicschools.org"
