CDSCode,StatusType,County,District,School,Street,City,Zip,State,Phone,Ext,Website,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1
09619450000000,Active,El Dorado,Pioneer Union Elementary,,6862 Mount Aukum Road,Somerset,95684-0008,CA,(530) 620-3556,,http://pioneer.k12.ca.us,38.4524699,-120.60270,Lisa,Fontana,lfontana@pioneer.k12.ca.us
09619520000000,Active,El Dorado,Placerville Union Elementary,,1032 Thompson Way,Placerville,95667-5713,CA,(530) 622-7216,,www.pusd.k12.ca.us,38.5827900,-120.79369,Eric,Bonniksen,ebonniksen@pusdk8.us
09619600000000,Active,El Dorado,Pollock Pines Elementary,,2701 Amber Trail,Pollock Pines,95726-9608,CA,(530) 644-5416,,www.ppesd.org,38.6199799,-120.58490,Kevin,Monsma,kmonsma@ppesd.org
09619780000000,Active,El Dorado,Rescue Union Elementary,,2390 Bass Lake Road,Rescue,95672-9608,CA,(530) 677-4461,,www.rescueusd.org,38.5469500,-121.00716,David,Swart,dswart@rescueusd.org
09619860000000,Active,El Dorado,Silver Fork Elementary,,2701 Amber Trail,Pollock Pines,95726-9266,CA,(530) 644-5416,,www.edcoe.org/districts/sfsd.html,38.6268800,-120.31009,Kevin,Monsma,kmonsma@ppesd.org
09737830000000,Active,El Dorado,Black Oak Mine Unified,,6540 Wentworth Springs Road,Georgetown,95634-9001,CA,(530) 333-8300,,www.bomusd.org,38.7588799,-120.58515,Robert,Williams,rwilliams@bomusd.org
09743770000000,Active,El Dorado,Central Sierra ROP,,337 Placerville Drive,Placerville Dr.,95667,CA,(530) 622-7130,,,,,,,
10621660000000,Active,Fresno,Fresno Unified,,2309 Tulare Street,Fresno,93721-2266,CA,(559) 457-3000,,www.fresnounified.org,36.5877199,-119.78780,Michael,Hanson,michael.hanson@fresnounified.org
10741530000000,Active,Fresno,Valley ROP,,"755 J Street, Room 138",Parlier,93648,CA,,,,,,,,
10621900000000,Merged,Fresno,Helm Elementary,,13883 S. Lassen,Helm,93627,CA,,,,,,,,
10624970000000,Merged,Fresno,Tranquillity Elementary,,6116 S. Daniels,Tranquillity,93668,CA,,,,,,,,
10625050000000,Merged,Fresno,Tranquillity Union High,,6052 Juanche Street,Tranquillity,93668,CA,,,,,,,,
11754810000000,Active,Glenn,Orland Joint Unified,,1320 Sixth Street,Orland,95963-1641,CA,(530) 865-1200,,www.orlandusd.net,39.5583699,-122.34780,Chris,Von Kleist,cvonkleist@orlandusd.net
12628690000000,Closed,Humboldt,Grizzly Bluff Elementary,,"Route 1, Box 74",Ferndale,95536,CA,,,,,,,,
12101240000000,Active,Humboldt,Humboldt County Office of Education,,901 Myrtle Avenue,Eureka,95501-1219,CA,(707) 445-7000,,www.humboldt.k12.ca.us,40.6532300,-124.15192,Garry,Eagles,superintendent@hcoe.net
12626790000000,Active,Humboldt,Arcata Elementary,,1435 Buttermilk Lane,Arcata,95521-6909,CA,(707) 822-0351,,www.humboldt.k12.ca.us/arcata_sd/,40.7090800,-124.06679,Pamela,Jones,pjones@humboldt.k12.ca.us
12626870000000,Active,Humboldt,Northern Humboldt Union High,,2755 McKinleyville Avenue,McKinleyville,95519-3400,CA,(707) 839-6470,,www.nohum.k12.ca.us/nhuhsd/nhuhsd.htm,40.8047200,-124.11123,Chris,Hartley,chartley@nohum.k12.ca.us
12626950000000,Active,Humboldt,Big Lagoon Union Elementary,,269 Big Lagoon Park Road,Trinidad,95570-9622,CA,(707) 677-3688,,www.humboldt.k12.ca.us/blagoon_sd,41.0144799,-124.13169,Kim,Blanc,kblanc@humboldt.k12.ca.us
12627030000000,Active,Humboldt,Blue Lake Union Elementary,,631 Greenwood Avenue,Blue Lake,95525,CA,(707) 668-5674,,www.humboldt.k12.ca.us/bluelake,40.8224500,-123.88330,Paula,Wyant,pwyant@humboldt.k12.ca.us
12627110000000,Closed,Humboldt,Bluff Prairie Elementary,,Shively Route,Scotia,95565,CA,,,,,,,,
12627290000000,Active,Humboldt,Bridgeville Elementary,,38717 Kneeland Road,Bridgeville,95526-0098,CA,(707) 777-3311,,www.humboldt.k12.ca.us/bridgeville_sd,40.3518600,-123.81883,Beth,Anderson,banderson@humboldt.k12.ca.us
12627370000000,Active,Humboldt,Cuddeback Union Elementary,,300 Wilder Road,Carlotta,95528-0007,CA,(707) 768-3372,,www.humboldt.k12.ca.us/cuddeback_sd,40.3280299,-123.93897,Blaine,Sigler,bsigler@humboldt.k12.ca.us
12627450000000,Active,Humboldt,Cutten Elementary,,4182 Walnut Drive,Eureka,95503-6223,CA,(707) 441-3900,,www.humboldt.k12.ca.us/cutten_sd,40.6180900,-124.14393,Julie,Osborne,josborne@humboldt.k12.ca.us
12627520000000,Merged,Humboldt,Eureka City Elementary,,3200 Walford Avenue,Eureka,95503-4828,CA,,,,,,,,
12627600000000,Merged,Humboldt,Eureka City High,,3200 Walford Avenue,Eureka,95503-4828,CA,,,,,,,,
12627780000000,Merged,Humboldt,Ferndale Elementary,,164 Shaw Avenue,Ferndale,95536,CA,,,,,,,,
12627860000000,Merged,Humboldt,Ferndale Union High,,1231 Main Street,Ferndale,95536,CA,,,,,,,,
12627940000000,Active,Humboldt,Fieldbrook Elementary,,4070 Fieldbrook Road,McKinleyville,95519-9709,CA,(707) 839-3201,,www.nohum.k12.ca.us/fsd,40.8034400,-124.03366,Daria,Lowery,darialowery@nohum.k12.ca.us
12628020000000,Closed,Humboldt,Fortuna Union Elementary,,843 L Street,Fortuna,95540-1921,CA,,,www.humboldt.k12.ca.us/fortuna_un,40.4493300,-124.15938,,,
12628100000000,Active,Humboldt,Fortuna Union High,,379 12th Street,Fortuna,95540-2398,CA,(707) 725-4461,3011,www.fuhsdistrict.org,40.4474799,-124.15537,Glen,Senestraro,gsenestraro@fuhsdistrict.org
12628280000000,Active,Humboldt,Freshwater Elementary,,75 Greenwood Heights Drive,Eureka,95503-9569,CA,(707) 442-2969,,www.humboldt.k12.ca.us/freshwater_sd,40.6391100,-124.08369,Thom,McMahon,tmcmahon@humboldt.k12.ca.us
12628360000000,Active,Humboldt,Garfield Elementary,,2200 Freshwater Road,Eureka,95503-9562,CA,(707) 442-5471,,www.humboldt.k12.ca.us/garfield_sd,40.6082400,-124.03525,Barbara,McMahon,bmcmahon@humboldt.k12.ca.us
12628510000000,Active,Humboldt,Green Point Elementary,,180 Valkensar Lane,Blue Lake,95525-9700,CA,(707) 668-5921,,www.humboldt.k12.ca.us/greenpoint_sd,40.8224500,-123.88330,Rea,Erickson,rerickson@humboldt.k12.ca.us
12628850000000,Active,Humboldt,Hydesville Elementary,,3050 Johnson Road,Hydesville,95547-0551,CA,(707) 768-3610,,www.humboldt.k12.ca.us/hydesville_sd,40.4078900,-124.08942,John,Blakely,jblakely@humboldt.k12.ca.us
12628930000000,Active,Humboldt,Jacoby Creek Elementary,,1617 Old Arcata Road,Bayside,95524-9301,CA,(707) 822-4896,,http://internet.humboldt.k12.ca.us/jacobycreekschool,40.7011699,-124.06950,Catherine,Stone,cstone@nohum.k12.ca.us
12629010000000,Active,Humboldt,Klamath-Trinity Joint Unified,,5 Loop Road,Hoopa,95546-1308,CA,(530) 625-5600,1003,www.ktjusd.k12.ca.us,41.0827800,-123.75498,Dione,Bielby,dbeilby@ktjusd.k12.ca.us
12629190000000,Active,Humboldt,Kneeland Elementary,,9313 Kneeland Road,Kneeland,95549-9018,CA,(707) 442-5472,,www.humboldt.k12.ca.us/kneeland_sd,40.5484300,-123.93733,Michael,Quinlan,kneeland@humboldt.k12.ca.us
12629270000000,Active,Humboldt,Loleta Union Elementary,,700 Loleta Drive,Loleta,95551-0547,CA,(707) 733-5705,,www.humboldt.k12.ca.us/loleta_sd,40.4952699,-124.22077,Sally,Hadden,shadden@humboldt.k12.ca.us
12629350000000,Active,Humboldt,Maple Creek Elementary,,15933 Maple Creek Road,Korbel,95550-9602,CA,(707) 668-5596,,www.humboldt.k12.ca.us/mapleck_sd/,40.6222399,-123.84815,Wendy,Orlandi,worlandi@humboldt.k12.ca.us
12629430000000,Merged,Humboldt,Mattole Union Elementary,,29289 Chambers Road,Petrolia,95558,CA,,,,,,,,
12629500000000,Active,Humboldt,McKinleyville Union Elementary,,2275 Central Avenue,McKinleyville,95519-3611,CA,(707) 839-1549,,www.nohum.k12.ca.us/msd,40.8030300,-124.10175,Michael,Davies-Hughes,mdavies-hughes@nohum.k12.ca.us
12629680000000,Active,Humboldt,Orick Elementary,,Highway 101,Orick,95555-0128,CA,(707) 488-2821,,http://orickschool.homestead.com,41.2266199,-124.05589,John,Sutter,jsutter@humboldt.k12.ca.us
12629760000000,Active,Humboldt,Pacific Union Elementary,,3001 Janes Road,Arcata,95521-4701,CA,(707) 822-4619,,www.pacificunionschool.org,40.7535600,-124.09233,Karla,Darnall,kdarnall@humboldt.k12.ca.us
12629840000000,Active,Humboldt,Peninsula Union,,909 Vance Avenue,Samoa,95564-0175,CA,(707) 443-2731,,www.humboldt.k12.ca.us/peninsula_sd,40.6453399,-124.20431,Kim,Blanc,kblanc@humboldt.k12.ca.us
12630080000000,Active,Humboldt,Rio Dell Elementary,,95 Center Street,Rio Dell,95562-1323,CA,(707) 764-5694,,http://riodell.schoolwires.com,40.3542399,-124.10536,Mary,Varner,mvarner@humboldt.k12.ca.us
12630160000000,Closed,Humboldt,Rohnerville Elementary,,3850 Rohnerville Road,Fortuna,95540-3122,CA,,,www.humboldt.k12.ca.us/rohnerville_sd/index.html,40.4273799,-124.12944,,,
12630240000000,Active,Humboldt,Scotia Union Elementary,,417 Church Street,Scotia,95565-0217,CA,(707) 764-2212,,www.humboldt.k12.ca.us/scotia_sd,40.3033500,-124.01443,Ronan,Collver,rcollver@humboldt.k12.ca.us
12630320000000,Active,Humboldt,South Bay Union Elementary,,6077 Loma Avenue,Eureka,95503-6869,CA,(707) 476-8549,,www.southbaydistrict.org,40.6099299,-124.18199,Thom,McMahon,mcmahon.thom@gmail.com
12630400000000,Active,Humboldt,Southern Humboldt Joint Unified,,110 School Road,Miranda,95553,CA,(707) 943-1789,,www.humboldt.k12.ca.us/sohumb_usd/school,39.9505600,-123.79947,Catherine,Scott,cscott@humboldt.k12.ca.us
12630570000000,Active,Humboldt,Trinidad Union Elementary,,300 Trinity Street,Trinidad,95570-3030,CA,(707) 677-3631,,www.humboldt.k12.ca.us/trinidad_sd,41.0003900,-124.04984,Geoffrey,Proust,gproust@nohum.k12.ca.us
12743930000000,Active,Humboldt,Humboldt County ROP,,901 Myrtle Avenue,Eureka,95501,CA,,,,,,,,
12753740000000,Active,Humboldt,Ferndale Unified,,1231 Main Street,Ferndale,95536-9416,CA,(707) 786-5900,,www.ferndalek12.org,40.4284100,-124.26487,Jack,Lakin,jlakin@humboldt.k12.ca.us
12753820000000,Active,Humboldt,Mattole Unified,,29289 Chambers Road,Petrolia,95558-0211,CA,(707) 629-3311,,www.humboldt.k12.ca.us/mattole_usd,40.1417700,-124.21187,Richard,Graey,rgraey@mattolevalley.org
12755150000000,Active,Humboldt,Eureka City Schools,,2100 J Street,Eureka,95501-3055,CA,(707) 441-2414,,www.eurekacityschools.org,40.6322300,-124.13862,Fred,"Van Vleck, Ed.D.",vanvleckf@eurekacityschools.org
13101320000000,Active,Imperial,Imperial County Office of Education,,1398 Sperber Road,El Centro,92243-9621,CA,(760) 312-6464,,www.icoe.org,32.6385999,-115.59941,Anne,Mallory,ajmallory@icoe.org
13630730000000,Active,Imperial,Brawley Elementary,,261 D Street,Brawley,92227-1912,CA,(760) 344-2330,,www.besd.org,32.8477200,-115.53531,Ronald A.,Garcia,rongarcia@besd.org
13632140000000,Active,Imperial,San Pasqual Valley Unified,,"Route 1, 676 Baseline Road",Winterhaven,92283-9801,CA,(760) 572-0222,,www.sanpasqual.k12.ca.us,32.9263100,-115.07177,David,Bealer,dbealer@spvusd.org
13630810000000,Active,Imperial,Brawley Union High,,480 North Imperial Avenue,Brawley,92227-1625,CA,(760) 312-5819,,www.brawleyhigh.org,32.8498099,-115.53215,Hasmik,Danielian,superintendent@brawleyhigh.org
13630990000000,Active,Imperial,Calexico Unified,,901 Andrade Avenue,Calexico,92231-3015,CA,(760) 768-3888,,www.calexico.k12.ca.us,32.5372500,-115.47937,Maria,Ambriz,mambriz@cusdk12.org
13631070000000,Active,Imperial,Calipatria Unified,,501 West Main Street,Calipatria,92233-9787,CA,(760) 348-2151,,www.calipat.com,32.9923100,-115.51468,Douglas,Kline,dkline@calipat.com
13631150000000,Active,Imperial,Central Union High,,351 West Ross Avenue,El Centro,92243-3110,CA,(760) 336-4500,,www.cuhsd.net,32.6570899,-115.56068,C.,Budde,tbudde@cuhsd.net
13631230000000,Active,Imperial,El Centro Elementary,,1256 Broadway,El Centro,92243-2317,CA,(760) 352-5712,,www.ecesd.org,32.6612000,-115.56340,Jon,LeDoux,jledoux@ecesd.org
13631310000000,Active,Imperial,Heber Elementary,,1052 Heber Avenue,Heber,92249-9759,CA,(760) 337-6530,2497,http://hesdk8.org,32.5975899,-115.42722,Jaime,Silva,jaimes@hesdk8.org
13631490000000,Active,Imperial,Holtville Unified,,621 East Sixth Street,Holtville,92250-1450,CA,(760) 356-2974,,www.holtville.k12.ca.us,32.6803000,-115.37058,Celso,Ruiz,celso@holtville.k12.ca.us
13631640000000,Active,Imperial,Imperial Unified,,219 North E Street,Imperial,92251,CA,(760) 355-3200,,http://iusd.imperial.k12.ca.us,32.7158299,-115.57196,Lisa,Tabarez,ltabarez@imperialusd.org
13631720000000,Active,Imperial,Magnolia Union Elementary,,4502 Casey Road,Brawley,92227-9561,CA,(760) 344-2494,,www.magnoliatigers.com,32.8687100,-115.42081,Blaine,Smith,brsmith@ivnet.org
13631800000000,Active,Imperial,McCabe Union Elementary,,701 West McCabe Road,El Centro,92243-9507,CA,(760) 335-5200,,www.mccabeschool.net,32.6197599,-115.58707,Amanda,Brooke,abrooke@ivnet.org
13631980000000,Active,Imperial,Meadows Union Elementary,,2059 Bowker Road,El Centro,92243-9724,CA,(760) 352-7512,,www.meadows.k12.ca.us,32.6646900,-115.47068,Sharon,Theis,stheis@ivnet.org
13632060000000,Active,Imperial,Mulberry Elementary,,1391 East Rutherford Road,Brawley,92227-9578,CA,(760) 344-8600,,,32.9113300,-115.41963,Danny,Eddins,dfeddins@ivnet.org
13632220000000,Active,Imperial,Seeley Union Elementary,,1812 West Rio Vista Street,Seeley,92273-0868,CA,(760) 352-3571,,www.seeley.k12.ca.us,32.6560399,-115.68169,Ruben,Castro,rcastro@seeley.k12.ca.us
13632300000000,Active,Imperial,Westmorland Union Elementary,,200 South C Street,Westmorland,92281-0088,CA,(760) 344-4364,,www.wued.org,32.9054799,-115.61584,Nancy,Johnson,n.johnson@wued.org
13744010000000,Active,Imperial,Imperial Valley ROP,,687 State Street,El Centro,92243,CA,(760) 482-2600,,,,,Edwin,Obergfell,eobergfell@ivrop.org
14101400000000,Active,Inyo,Inyo County Office of Education,,555 South Clay Street,Independence,93526-0607,CA,(760) 878-2426,,www.inyo.k12.ca.us,36.7381400,-117.91224,Terence,McAteer,terry_mcateer@inyo.k12.ca.us
14632480000000,Active,Inyo,Big Pine Unified,,500 South Main Street,Big Pine,93513-0908,CA,(760) 938-2005,235,http://bp.k12.ca.us,37.1257499,-117.94195,Pamela,Jones,pamela_jones@inyo.k12.ca.us
14632550000000,Closed,Inyo,Bishop Union Elementary,,800 West Elm Street,Bishop,93514,CA,,,www.buesd.k12.ca.us,37.2228800,-118.40313,,,
14632630000000,Closed,Inyo,Bishop Joint Union High,,301 North Fowler Street,Bishop,93514-2609,CA,,,www.buhs.k12.ca.us,37.2206100,-118.39691,,,
14632710000000,Active,Inyo,Death Valley Unified,,Old State Highway 127,Shoshone,92384-0217,CA,(760) 852-4303,,,36.0470699,-116.41126,Jim,Copeland,jim_copeland@inyo.k12.ca.us
14632890000000,Active,Inyo,Lone Pine Unified,,301 South Hay Street,Lone Pine,93545-0159,CA,(760) 876-5579,,www.lpusd.k12.ca.us,36.4617999,-118.05821,Victor,Hopper,vhopper@lpusd.k12.ca.us
14632970000000,Active,Inyo,Owens Valley Unified,,202 South Clay Street,Independence,93526-0605,CA,(760) 878-2405,,www.ovusd.org,36.7381400,-117.91224,Joel,Hampton,jhampton@ovusd.k12.ca.us
14633050000000,Active,Inyo,Round Valley Joint Elementary,,300 North Round Valley Road,Bishop,93514-9632,CA,(760) 387-2525,,http://rvjesd-ca.schoolloop.com/,37.3063900,-118.36712,Daniel,Moore,dmoore@rv.k12.ca.us
14740700000000,Active,Inyo,Inyo County ROP,,166 Grandview Drive,Bishop,93514-2984,CA,(760) 873-3262,411,www.inyo.k12.ca.us,,,Sophie,Kenn,sophie_kenn@inyo.k12.ca.us
15101570000000,Active,Kern,Kern County Office of Education,,"1300 17th Street, City Centre",Bakersfield,93301-4533,CA,(661) 636-4621,,www.kern.org,35.2357099,-119.01495,Christine,Frazier,chfrazier@kern.org
15633130000000,Active,Kern,Arvin Union,,737 Bear Mountain Boulevard,Arvin,93203-1413,CA,(661) 854-6500,,www.arvinschools.com,35.0709900,-118.85655,Michelle,McLean,mmclean@arvin-do.com
15633210000000,Active,Kern,Bakersfield City,,1300 Baker Street,Bakersfield,93305-4326,CA,(661) 631-4610,,www.bcsd.com,35.2435499,-118.98941,Robert,Arias,ariasr@bcsd.com
15633390000000,Active,Kern,Beardsley Elementary,,1001 Roberts Lane,Bakersfield,93308-4503,CA,(661) 393-8550,,www.beardsleyschool.org,35.2698699,-119.03906,Paul,Miller,pamiller@beardsley.k12.ca.us
15633470000000,Active,Kern,Belridge Elementary,,19447 Wagon Wheel Road,McKittrick,93251-9715,CA,(661) 762-7381,,www.belridgeschool.org,35.2276400,-119.61794,Tammy,Reynolds,tareyno@zeus.kern.org
15633540000000,Active,Kern,Blake Elementary,,19165 Main Street,Woody,93287-0040,CA,(661) 536-8559,,http://kcsos.kern.org/blakesd,35.5651400,-118.83483,Gary,Bray,gabray@kern.org
15633620000000,Active,Kern,Panama-Buena Vista Union,,4200 Ashe Road,Bakersfield,93313-2029,CA,(661) 831-8331,6104,www.pbvusd.net,35.1769400,-119.07356,Kevin,Silberberg,ksilberberg@pbvusd.net
15633700000000,Active,Kern,Buttonwillow Union Elementary,,42600 Highway 58,Buttonwillow,93206-9700,CA,(661) 764-5166,,www.buttonwillow.k12.ca.us,35.2651699,-119.48453,Stuart,Packard,spackard@buttonwillowschool.com
15633880000000,Active,Kern,Caliente Union Elementary,,12400 Caliente Creek Road,Caliente,93518-2851,CA,(661) 867-2301,,www.calienteschooldistrict.org,35.1793400,-118.53829,Kathleen,Hansen,khansen@calienteschooldistrict.org
15634040000000,Active,Kern,Delano Union Elementary,,1405 12th Avenue,Delano,93215-2416,CA,(661) 721-5000,,www.duesd.org,35.6336099,-119.23595,Robert,Aguilar,raguilar2@duesd.org
15634120000000,Active,Kern,Delano Joint Union High,,1720 Norwalk Street,Delano,93215-1456,CA,(661) 725-4000,,www.djuhsd.org,35.6392200,-119.23508,Rosalina,Rivera,rrivera@djuhsd.org
15634200000000,Active,Kern,Di Giorgio Elementary,,19405 Buena Vista Boulevard,Arvin,93203-9709,CA,(661) 854-2604,,www.digiorgio.k12.ca.us,35.1004399,-118.78161,Jerri,Boatman,jeboatm@zeus.kern.org
15634380000000,Active,Kern,Edison Elementary,,11518 School Street,Bakersfield,93307-9148,CA,(661) 363-5394,,www.edline.net/pages/edison_elementary,35.2269000,-118.89619,Erica,Andrews,eandrews@edison.k12.ca.us
15634460000000,Active,Kern,Elk Hills Elementary,,501 Kern Street,Tupman,93276-0129,CA,(661) 765-7431,,www.elkhills.k12.ca.us,35.1007400,-119.29579,Jeff,Tensley,jetensley@elkhills.org
15634530000000,Merged,Kern,El Tejon Union,,4337 Lebec Road,Lebec,93243,CA,,,,,,,,
15634610000000,Active,Kern,Fairfax Elementary,,1500 South Fairfax Road,Bakersfield,93307-3151,CA,(661) 366-7221,,www.fairfax.k12.ca.us,35.2014700,-118.93074,Michael,Coleman,mcoleman@fairfax.k12.ca.us
15634790000000,Active,Kern,Fruitvale Elementary,,7311 Rosedale Highway,Bakersfield,93308-5738,CA,(661) 589-3830,206,www.fruitvale.k12.ca.us/district,35.2447500,-119.08226,Mary,Westendorf,mawestendorf@fruitvale.k12.ca.us
15634870000000,Active,Kern,General Shafter Elementary,,1825 Shafter Road,Bakersfield,93313-9766,CA,(661) 837-1931,,www.generalshafter.org,35.0851600,-119.05695,Chris,Salyards,chriss@generalshafter.org
15635030000000,Active,Kern,Greenfield Union,,1624 Fairview Road,Bakersfield,93307-5512,CA,(661) 837-6000,,www.gfusd.k12.ca.us,35.1648000,-119.01837,Chris,Crawford,crawfordc@gfusd.net
15635290000000,Active,Kern,Kern Union High,,5801 Sundale Avenue,Bakersfield,93309-2924,CA,(661) 827-3100,,www.kernhigh.org,35.2050600,-119.06435,Donald,Carter,dcarter@khsd.k12.ca.us
15635450000000,Active,Kern,Kernville Union Elementary,,3240 Erskine Creek Road,Lake Isabella,93240-3077,CA,(760) 379-3651,,www.kernvilleusd.org,35.4714900,-118.48084,Robin,Shive,rshive@kernvilleusd.org
15635520000000,Active,Kern,Lakeside Union,,14535 Old River Road,Bakersfield,93311-9756,CA,(661) 836-6658,,www.lakesideusd.org,35.0825099,-119.10858,Gary,Mullen,gmullen@lakesideusd.org
15635600000000,Active,Kern,Lamont Elementary,,7915 Burgundy Avenue,Lamont,93241-1350,CA,(661) 845-0751,216,www.lamontschooldistrict.org,35.1195499,-118.91186,Ricardo,Robles,rrobles@lesd.us
15635780000000,Active,Kern,Richland Union Elementary,,300 N. Valley,Shafter,93263-1967,CA,(661) 746-8600,,www.richland.k12.ca.us,35.3470700,-119.32190,Kenneth,Bergevin,kbergevin@richland.k12.ca.us
15635860000000,Active,Kern,Linns Valley-Poso Flat Union,,158 White River Road,Glennville,93226-0399,CA,(661) 536-8811,,http://kcsos.kern.org/linnsvalley,35.5896499,-118.67755,Lavenia,Yarger,kayarge@zeus.kern.org
15635940000000,Active,Kern,Lost Hills Union Elementary,,20951 Pavilion Way,Lost Hills,93249-0158,CA,(661) 797-2941,,,35.4763700,-119.79710,Harrison,Favereaux,hafaver@zeus.kern.org
15636100000000,Active,Kern,Maple Elementary,,29161 Fresno Avenue,Shafter,93263-9719,CA,(661) 746-4439,,www.maple.k12.ca.us,35.3756399,-119.31676,Shayleen,Harte,shharte@zeus.kern.org
15636280000000,Active,Kern,Maricopa Unified,,955 Stanislaus Street,Maricopa,93252-9779,CA,(661) 769-8231,,www.maricopaschools.org,34.9171699,-119.40125,Scott,Meier,smeier@maricopaschools.org
15636360000000,Merged,Kern,McFarland Unified,,460 Kern Avenue,McFarland,93250,CA,,,,,,,,
15636510000000,Active,Kern,McKittrick Elementary,,23250 Second Street,McKittrick,93251-0277,CA,(661) 762-7303,,http://mckittrickschool.org,35.2276400,-119.61794,Barry,Koerner,bakoern@zeus.kern.org
15636690000000,Active,Kern,Midway Elementary,,259 F Street,Fellows,93224-0039,CA,(661) 768-4344,,www.midwayschooldistrict.org,35.0372100,-119.54273,Greg,Coker,snoopybeagleboy@yahoo.com
15636770000000,Active,Kern,Mojave Unified,,3500 Douglas Avenue,Mojave,93501-1143,CA,(661) 824-4001,,www.mojave.k12.ca.us,34.9233400,-118.19194,Aaron,Haughton,aaronhaughton@mojave.k12.ca.us
15636850000000,Active,Kern,Muroc Joint Unified,,17100 Foothill Avenue,North Edwards,93523-3533,CA,(760) 769-4821,,www.muroc.k12.ca.us,34.8453999,-117.87989,Loretta,Gibson,lgibson@muroc.k12.ca.us
15636930000000,Active,Kern,Norris Elementary,,6940 Calloway Drive,Bakersfield,93312-9005,CA,(661) 387-7000,,www.norris.k12.ca.us,35.2831800,-119.10849,Steven,Shelton,stshelt@norris.k12.ca.us
15637010000000,Merged,Kern,Panama Union Elementary,,4200 Ashe Road,Bakersfield,93313,CA,,,,,,,,
15637190000000,Active,Kern,Pond Union Elementary,,29585 Pond Road,Pond,93280-0927,CA,(661) 792-2545,,www.pond.k12.ca.us,35.4920400,-119.42171,Frank,Ohnesorgen,fohnesorgen@pond.k12.ca.us
15637270000000,Closed,Kern,Rand Joint Elementary,,PO Box 157,Johannesburg,93528,CA,,,,,,,,
15637350000000,Merged,Kern,Richland Elementary,,331 Shafter Avenue,Shafter,93263,CA,,,,,,,,
15637500000000,Active,Kern,Rosedale Union Elementary,,2553 Old Farm Road,Bakersfield,93312-3531,CA,(661) 588-6000,,www.ruesd.net,35.2445099,-119.13527,John,Mendiburu,jmendiburu@ruesd.net
15637680000000,Active,Kern,Semitropic Elementary,,25300 Highway 46,Wasco,93280-9540,CA,(661) 758-6412,,www.semitropicschool.org/,35.5058799,-119.39351,Felix,Garcera,fegarcer@zeus.kern.org
15637760000000,Active,Kern,Southern Kern Unified,,3082 Glendower Street,Rosamond,93560-0640,CA,(661) 256-5000,,www.skusd.k12.ca.us,34.7280599,-118.16767,Jeffrey,Weinstein,jweinstein@skusd.k12.ca.us
15637840000000,Active,Kern,South Fork Union,,5225 Kelso Valley Road,Weldon,93283-9564,CA,(760) 378-4000,3,www.southforkschool.org,35.5268500,-118.28854,Robin,Shive,roshive@southforkschool.org
15637920000000,Active,Kern,Standard Elementary,,1200 North Chester Avenue,Bakersfield,93308-3521,CA,(661) 392-2110,,www.standard.k12.ca.us,35.2785000,-119.01963,Paul,Meyers,pmeyers@standard.k12.ca.us
