FacNum,County,Type,City,Name,Total,UptodateTot,UptodatePct,CondTot,CondPct,PMETot,PMEPct,PBETot,PBEPct,DTPTot,DTPPct,PolioTot,PolioPct,MMRTot,MMRPct,HIBTot,HIBPct,HEPBTot,HEPBPct,VariTot,VariPct,Report
013416177,ALAMEDA,PRIVATE,UNION CITY,ADVENTURE MONTESSORI ACADEMY AND SCHOOL,31,31,100,0,0,0,0,0,0,31,100,31,100,31,100,31,100,31,100,31,100,Y
010205718,ALAMEDA,PRIVATE,PLEASANTON,ADVENTURES IN LEARNING,58,54,93,4,7,0,0,0,0,58,100,58,100,58,100,58,100,54,93,58,100,Y
006106751,ALAMEDA,PUBLIC,HAYWARD,ALAMEDA COUNTY SPECIAL EDUCATION, ,,,,,,,,,,,,,,,,,,,,,N
010214883,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START - ANGELA AGUILAR CENTER,71,63,89,6,8,0,0,2,3,65,92,67,94,69,97,70,99,66,93,69,97,Y
013420540,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START - SUE MATHESON INFANT CENTER,46,40,87,5,11,0,0,1,2,41,89,44,96,45,98,45,98,43,93,46,100,Y
013420593,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START- COLLEGE OF ALAMEDA HEAD START,70,59,84,9,13,0,0,2,3,61,87,67,96,70,100,69,99,66,94,68,97,Y
013420549,ALAMEDA,PUBLIC,ALBANY,ALBANY CHILDREN'S CENTER,96,84,88,10,10,0,0,2,2,88,92,89,93,90,94,91,95,88,92,89,93,Y
010209917,ALAMEDA,PRIVATE,ALBANY,ALBANY PRESCHOOL,57,49,86,2,4,0,0,6,11,50,88,53,93,54,95,51,89,50,88,52,91,Y
013420957,ALAMEDA,PRIVATE,ALBANY,ALBANY YMCA PRESCHOOL,10,8,80,2,20,0,0,0,0,8,80,10,100,10,100,10,100,9,90,10,100,Y
000118216,ALAMEDA,PUBLIC,CASTRO VALLEY,ALMA PRESCHOOL, ,,,,,,,,,,,,,,,,,,,,,N
010205969,ALAMEDA,PRIVATE,OAKLAND,APPLEGARDEN MONTESSORI SCHOOL,28,19,68,8,29,0,0,1,4,26,93,26,93,26,93,27,96,21,75,26,93,Y
013419419,ALAMEDA,PRIVATE,HAYWARD,"ARC OF ALAMEDA CO. FIRST STEP CHILDREN'S CTR., THE",25,24,96,1,4,0,0,0,0,25,100,25,100,24,96,25,100,25,100,25,100,Y
010210203,ALAMEDA,PRIVATE,LIVERMORE,ARK PRE-SCHOOL AND CHILD CARE,58,56,97,1,2,0,0,1,2,58,100,58,100,58,100,58,100,57,98,57,98,Y
013415294,ALAMEDA,PRIVATE,FREMONT,BAY AREA CHILD CARE - BRIER/GLANKLER,26,18,69,8,31,0,0,0,0,23,88,26,100,26,100,25,96,25,96,23,88,Y
013412710,ALAMEDA,PRIVATE,ALBANY,BAY AREA KINDER STUBE,27,25,93,1,4,0,0,1,4,27,100,27,100,27,100,27,100,25,93,27,100,Y
010206014,ALAMEDA,PRIVATE,ALAMEDA,BAYSIDE MONTESSORI ASSOCIATION,22,20,91,1,5,0,0,1,5,22,100,21,95,22,100,22,100,21,95,22,100,Y
013420565,ALAMEDA,HEAD START,ALBANY,BERKELEY YMCA HEAD START-UNIVERSITY VILLAGE (UVA), ,,,,,,,,,,,,,,,,,,,,,N
010214258,ALAMEDA,PRIVATE,OAKLAND,BERNICE & JOE PLAYSCHOOL,30,20,67,6,20,0,0,4,13,22,73,21,70,22,73,22,73,20,67,22,73,Y
013417600,ALAMEDA,PRIVATE,PLEASANTON,BETH EMEK PRESCHOOL,45,37,82,0,0,0,0,8,18,40,89,39,87,39,87,40,89,38,84,38,84,Y
010209547,ALAMEDA,PRIVATE,SAN LEANDRO,BETH SHOLOM PRESCHOOL,24,17,71,6,25,0,0,1,4,18,75,23,96,23,96,23,96,23,96,23,96,Y
013417989,ALAMEDA,PRIVATE,OAKLAND,BETTYS CHILDRENS ACADEMY-PRESCHOOL CHILD CARE,26,26,100,0,0,0,0,0,0,26,100,26,100,26,100,26,100,26,100,26,100,Y
010209844,ALAMEDA,PRIVATE,OAKLAND,BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH,43,31,72,10,23,0,0,2,5,35,81,39,91,37,86,40,93,37,86,35,81,Y
010211577,ALAMEDA,PUBLIC,OAKLAND,BOOTH MEMORIAL CENTER INFANT-TODDLER PROGRAM,34,27,79,7,21,0,0,0,0,31,91,32,94,30,88,33,97,32,94,31,91,Y
010213888,ALAMEDA,PRIVATE,FREMONT,BRIDGES COMMUNITY CHURCH - LITTLE LAMB MINISTRIES,124,117,94,2,2,0,0,5,4,119,96,121,98,121,98,122,98,118,95,119,96,Y
013418195,ALAMEDA,PRIVATE,OAKLAND,BRIGHT FUTURE EARLY LEARNING CENTER,29,23,79,6,21,0,0,0,0,24,83,27,93,27,93,29,100,24,83,27,93,Y
013419488,ALAMEDA,PRIVATE,DUBLIN,BRIGHT HORIZONS AT DUBLIN,33,31,94,1,3,1,3,0,0,32,97,33,100,33,100,32,97,32,97,32,97,Y
013415928,ALAMEDA,PRIVATE,ALAMEDA,BRIGHT HORIZONS AT GARNER,110,99,90,10,9,0,0,1,1,102,93,106,96,103,94,105,95,102,93,104,95,Y
013418971,ALAMEDA,PRIVATE,ALBANY,BRIGHT STAR MONTESSORI SCHOOL,18,18,100,0,0,0,0,0,0,18,100,18,100,18,100,18,100,18,100,18,100,Y
010200078,ALAMEDA,PRIVATE,CASTRO VALLEY,BRIGHT WORLD PRESCHOOL,34,34,100,0,0,0,0,0,0,34,100,34,100,34,100,34,100,34,100,34,100,Y
013411080,ALAMEDA,PRIVATE,OAKLAND,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.",56,40,71,15,27,0,0,1,2,50,89,49,88,55,98,53,95,45,80,53,95,Y
013418986,ALAMEDA,PRIVATE,SAN LEANDRO,BUBBLY TOTS LEARNING CENTER,48,48,100,0,0,0,0,0,0,48,100,48,100,48,100,48,100,48,100,48,100,Y
013411608,ALAMEDA,PRIVATE,OAKLAND,BUILDING BLOCKS,18,18,100,0,0,0,0,0,0,18,100,18,100,18,100,18,100,18,100,18,100,Y
013419478,ALAMEDA,PRIVATE,PLEASANTON,BUSY BEES PRESCHOOL,34,32,94,2,6,0,0,0,0,32,94,33,97,34,100,34,100,33,97,34,100,Y
000131763,ALAMEDA,PUBLIC,FREMONT,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,19,18,95,0,0,0,0,1,5,18,95,18,95,18,95,18,95,18,95,18,95,Y
010208785,ALAMEDA,PRIVATE,SAN LORENZO,CALVARY LUTHERAN PRESCHOOL,21,13,62,8,38,0,0,0,0,15,71,15,71,15,71,15,71,15,71,15,71,Y
010215014,ALAMEDA,PRIVATE,CASTRO VALLEY,CAMELOT SCHOOL,89,71,80,18,20,0,0,0,0,80,90,86,97,81,91,89,100,79,89,83,93,Y
013418167,ALAMEDA,HEAD START,LIVERMORE,CAPE - BESS PLATT,72,71,99,1,1,0,0,0,0,71,99,72,100,72,100,72,100,72,100,72,100,Y
013417279,ALAMEDA,HEAD START,DUBLIN,CAPE - FREDRIKSEN,20,20,100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,Y
013412137,ALAMEDA,HEAD START,PLEASANTON,CAPE - HEAD START - HILL 'N DALE PRESCHOOL,20,20,100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,Y
013414732,ALAMEDA,HEAD START,LIVERMORE,CAPE - JACKSON CENTER,26,25,96,0,0,0,0,1,4,25,96,25,96,25,96,25,96,25,96,25,96,Y
010213356,ALAMEDA,HEAD START,LIVERMORE,CAPE - WM. ORMAND III EARLY ED. CTR.,57,57,100,0,0,0,0,0,0,57,100,57,100,57,100,57,100,57,100,57,100,Y
000130039,ALAMEDA,PUBLIC,CASTRO VALLEY,CASTRO VALLEY ADULT AND CAREER EDUCATION, ,,,,,,,,,,,,,,,,,,,,,N
013420568,ALAMEDA,PRIVATE,EMERYVILLE,CCLC - CLIF BASE CAMP CHILD CARE CENTER,29,20,69,7,24,0,0,2,7,20,69,28,97,21,72,29,100,22,76,23,79,Y
013415193,ALAMEDA,PRIVATE,LIVERMORE,CELEBRATION LEARNING CENTER,23,21,91,1,4,0,0,1,4,21,91,21,91,21,91,21,91,21,91,21,91,Y
013419415,ALAMEDA,PRIVATE,PLEASANTON,CENTERPOINTE CHRISTIAN PRESCHOOL,43,43,100,0,0,0,0,0,0,43,100,43,100,43,100,43,100,43,100,43,100,Y
010200106,ALAMEDA,PUBLIC,FREMONT,CENTERVILLE CHURCH PRESCHOOL,26,22,85,1,4,2,8,1,4,24,92,23,88,24,92,24,92,22,85,23,88,Y
013420911,ALAMEDA,HEAD START,FREMONT,CFCS - GLANKER HEAD START,61,61,100,0,0,0,0,0,0,61,100,61,100,61,100,61,100,61,100,61,100,Y
013419482,ALAMEDA,HEAD START,SAN LEANDRO,CFCS - HILLSIDE HEAD START,36,35,97,1,3,0,0,0,0,35,97,36,100,36,100,36,100,35,97,36,100,Y
013420960,ALAMEDA,HEAD START,HAYWARD,CFCS - JOHN MUIR HEAD START SITE PART DAY,83,83,100,0,0,0,0,0,0,83,100,83,100,83,100,83,100,83,100,83,100,Y
013419481,ALAMEDA,HEAD START,CASTRO VALLEY,CFCS - LAUREL HEAD START, ,,,,,,,,,,,,,,,,,,,,,N
013420910,ALAMEDA,HEAD START,HAYWARD,CFCS - MARKHAM HEAD START,34,33,97,1,3,0,0,0,0,33,97,34,100,33,97,34,100,34,100,33,97,Y
010215558,ALAMEDA,HEAD START,NEWARK,CFCS HEAD START - ASH STREET,39,39,100,0,0,0,0,0,0,39,100,39,100,39,100,39,100,39,100,39,100,Y
013411098,ALAMEDA,PRIVATE,UNION CITY,CFCS HEAD START - DECOTO PLAZA,40,40,100,0,0,0,0,0,0,40,100,40,100,40,100,40,100,40,100,40,100,Y
010212000,ALAMEDA,HEAD START,HAYWARD,CFCS HEAD START - GLASSBROOK,40,39,98,1,3,0,0,0,0,40,100,40,100,40,100,40,100,39,98,40,100,Y
010215834,ALAMEDA,HEAD START,SAN LEANDRO,CFCS HEAD START - JEFFERSON,20,19,95,1,5,0,0,0,0,20,100,20,100,20,100,20,100,19,95,20,100,Y
010212907,ALAMEDA,HEAD START,SAN LEANDRO,CFCS HEAD START - MADISON,38,38,100,0,0,0,0,0,0,38,100,38,100,38,100,38,100,38,100,38,100,Y
013418958,ALAMEDA,HEAD START,SAN LEANDRO,CFCS HEAD START - SAN LEANDRO ADULT SCHOOL,39,38,97,1,3,0,0,0,0,39,100,39,100,39,100,39,100,38,97,39,100,Y
013418959,ALAMEDA,HEAD START,HAYWARD,CFCS HEAD START - SUNSET,64,57,89,7,11,0,0,0,0,59,92,63,98,61,95,64,100,63,98,61,95,Y
013412444,ALAMEDA,HEAD START,NEWARK,CFCS HEAD START - WHITEFORD,40,38,95,2,5,0,0,0,0,40,100,40,100,40,100,40,100,39,98,39,98,Y
013418950,ALAMEDA,HEAD START,HAYWARD,CFCS HEAD START CENTER - BIDWELL,40,40,100,0,0,0,0,0,0,40,100,40,100,40,100,40,100,40,100,40,100,Y
013419402,ALAMEDA,HEAD START,HAYWARD,CFCS PEIXOTO HEAD START CENTER - INFANT,83,83,100,0,0,0,0,0,0,83,100,83,100,83,100,83,100,83,100,83,100,Y
013420577,ALAMEDA,PRIVATE,HAYWARD,CFCS- LORENZO MANOR HEAD START,37,35,95,2,5,0,0,0,0,36,97,36,97,37,100,37,100,37,100,37,100,Y
013421359,ALAMEDA,HEAD START,HAYWARD,CFCS-JOHN MUIR SCHOOL,108,108,100,0,0,0,0,0,0,108,100,108,100,108,100,108,100,108,100,108,100,Y
013421372,ALAMEDA,HEAD START,SAN LEANDRO,CFCSHS - JEFFERSON SCHOOL,20,20,100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,Y
013421364,ALAMEDA,HEAD START,HAYWARD,CFCSHS - PEIXOTO CENTER EHS,97,92,95,5,5,0,0,0,0,94,97,97,100,97,100,97,100,95,98,97,100,Y
013421357,ALAMEDA,HEAD START,HAYWARD,CFCSHS - SUNSET ADULT SCHOOL,64,57,89,7,11,0,0,0,0,59,92,63,98,61,95,64,100,63,98,61,95,Y
013421360,ALAMEDA,HEAD START,HAYWARD,CFCSHSHS - MARKHAM-FAITH RINGGOLD SCHOOL,34,33,97,1,3,0,0,0,0,33,97,34,100,33,97,34,100,34,100,33,97,Y
013411745,ALAMEDA,PUBLIC,HAYWARD,"CHABOT COLLEGE, CHILDREN'S CENTER",73,69,95,4,5,0,0,0,0,72,99,72,99,73,100,73,100,73,100,71,97,Y
010212301,ALAMEDA,PRIVATE,NEWARK,CHALLENGER SCHOOL,175,169,97,2,1,0,0,4,2,173,99,174,99,173,99,175,100,172,98,171,98,Y
013412399,ALAMEDA,PRIVATE,NEWARK,CHALLENGER SCHOOL,166,164,99,0,0,1,1,1,1,166,100,165,99,166,100,166,100,165,99,166,100,Y
013414363,ALAMEDA,PRIVATE,OAKLAND,CHATHAM SCHOOL,55,54,98,0,0,0,0,1,2,54,98,54,98,54,98,54,98,54,98,54,98,Y
013418177,ALAMEDA,PRIVATE,OAKLAND,CHATHAM SCHOOL - REDWOOD CAMPUS,125,125,100,0,0,0,0,0,0,125,100,125,100,125,100,125,100,125,100,125,100,Y
013416572,ALAMEDA,PRIVATE,HAYWARD,CHERUBIM'S CHILDREN'S CENTERS,10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,10,100,Y
013420524,ALAMEDA,PRIVATE,PLEASANTON,"CHILD DAY SCHOOL, LLC - PLEASANTON",56,49,88,3,5,0,0,4,7,56,100,55,98,56,100,56,100,51,91,52,93,Y
010210145,ALAMEDA,PRIVATE,ALAMEDA,CHILD UNIQUE MONT. SCHOOL,25,21,84,0,0,0,0,4,16,25,100,23,92,24,96,25,100,21,84,22,88,Y
013414800,ALAMEDA,PRIVATE,ALAMEDA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",24,18,75,0,0,0,0,6,25,21,88,21,88,21,88,21,88,18,75,20,83,Y
013420947,ALAMEDA,PRIVATE,ALAMEDA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",24,21,88,0,0,0,0,3,13,24,100,24,100,24,100,21,88,22,92,24,100,Y
010211702,ALAMEDA,PRIVATE,FREMONT,CHILD'S HIDEAWAY (A),21,20,95,0,0,0,0,1,5,21,100,21,100,21,100,21,100,21,100,20,95,Y
010209901,ALAMEDA,PRIVATE,FREMONT,"CHILD'S HIDEAWAY, A",34,22,65,12,35,0,0,0,0,28,82,33,97,34,100,32,94,28,82,33,97,Y
010212370,ALAMEDA,PRIVATE,HAYWARD,CHILDREN'S CHOICE EDUCARE,34,32,94,2,6,0,0,0,0,34,100,34,100,34,100,34,100,32,94,34,100,Y
013418096,ALAMEDA,PRIVATE,SAN LEANDRO,CHILDREN'S MONTESSORI ADVENTURE,34,33,97,0,0,1,3,0,0,34,100,34,100,33,97,34,100,34,100,34,100,Y
013414324,ALAMEDA,PRIVATE,LIVERMORE,CHRISTIAN WORLD CHILD CARE CENTER,43,33,77,10,23,0,0,0,0,38,88,42,98,40,93,42,98,38,88,40,93,Y
013419473,ALAMEDA,PRIVATE,UNION CITY,CITY OF UNION CITY - HOLLY CENTER,25,22,88,3,12,0,0,0,0,25,100,25,100,24,96,25,100,24,96,24,96,Y
013420535,ALAMEDA,PRIVATE,UNION CITY,CITY OF UNION CITY - KENNEDY CENTER,16,16,100,0,0,0,0,0,0,16,100,16,100,16,100,16,100,16,100,16,100,Y
010204415,ALAMEDA,PRIVATE,OAKLAND,CLAREMONT DAY NURSERIES INC,37,35,95,2,5,0,0,0,0,35,95,35,95,37,100,37,100,37,100,37,100,Y
013411559,ALAMEDA,PRIVATE,OAKLAND,COLOR ME CHILDREN,30,30,100,0,0,0,0,0,0,30,100,30,100,30,100,30,100,30,100,30,100,Y
013418972,ALAMEDA,PRIVATE,LIVERMORE,COTTAGE PRESCHOOL,51,51,100,0,0,0,0,0,0,51,100,51,100,51,100,51,100,51,100,51,100,Y
013420608,ALAMEDA,PRIVATE,HAYWARD,CREATIVE KIDS,16,16,100,0,0,0,0,0,0,16,100,16,100,16,100,16,100,16,100,16,100,Y
013420541,ALAMEDA,UNKNOWN,OAKLAND,CULTIVATING KIDS EARLY CHILDHOOD CENTER, ,,,,,,,,,,,,,,,,,,,,,N
010214589,ALAMEDA,PUBLIC,CASTRO VALLEY,CVUSD - MARSHALL SCHOOL STATE PRESCHOOL,24,24,100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,Y
013418977,ALAMEDA,PRIVATE,OAKLAND,DAISY CHILD DEVELOPMENT CENTER,51,43,84,3,6,0,0,5,10,47,92,45,88,48,94,48,94,43,84,48,94,Y
013412358,ALAMEDA,PUBLIC,SAN LEANDRO,DAVIS STREET AT JEFFERSON,40,40,100,0,0,0,0,0,0,40,100,40,100,40,100,40,100,40,100,40,100,Y
010214436,ALAMEDA,PUBLIC,SAN LEANDRO,DAVIS STREET CHILD CARE CENTER,43,16,37,27,63,0,0,0,0,17,40,43,100,43,100,43,100,16,37,43,100,Y
013419489,ALAMEDA,PRIVATE,SAN LEANDRO,DAVIS STREET PRESCHOOL AT GARFIELD,13,0,0,13,100,0,0,0,0,7,54,8,62,13,100,13,100,8,62,10,77,Y
013412740,ALAMEDA,PRIVATE,NEWARK,DIVERSITY CHILDREN'S CENTER,30,29,97,1,3,0,0,0,0,30,100,29,97,30,100,30,100,30,100,30,100,Y
013420528,ALAMEDA,PRIVATE,OAKLAND,DR. HERBERT GUICE CHRISTIAN ACADEMY,10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,10,100,Y
013418999,ALAMEDA,PRIVATE,OAKLAND,DUCK POND PRESCHOOL (THE),24,16,67,8,33,0,0,0,0,24,100,24,100,24,100,24,100,17,71,23,96,Y
010213969,ALAMEDA,PRIVATE,OAKLAND,DUCK'S NEST - PIEDMONT,75,57,76,18,24,0,0,0,0,67,89,68,91,69,92,70,93,58,77,69,92,Y
013418978,ALAMEDA,PRIVATE,OAKLAND,DUCK'S NEST ARTS AND SCIENCES, ,,,,,,,,,,,,,,,,,,,,,N
013419465,ALAMEDA,PRIVATE,CASTRO VALLEY,EARLY BIRD MONTESSORI SCHOOL - CENTER,30,28,93,2,7,0,0,0,0,28,93,30,100,30,100,30,100,30,100,30,100,Y
010214653,ALAMEDA,PRIVATE,PLEASANTON,EARLY YEARS CHILDREN'S CENTER,64,63,98,1,2,0,0,0,0,63,98,64,100,64,100,64,100,64,100,64,100,Y
013417784,ALAMEDA,PRIVATE,OAKLAND,"EAST BAY ACADEMY, INC.",94,94,100,0,0,0,0,0,0,94,100,94,100,94,100,94,100,94,100,94,100,Y
010210862,ALAMEDA,PRIVATE,HAYWARD,EDEN YMCA OF THE EAST BAY-PRESCHOOL,31,31,100,0,0,0,0,0,0,31,100,31,100,31,100,31,100,31,100,31,100,Y
013419440,ALAMEDA,PRIVATE,HAYWARD,EIFFEL TOWER MONTESSORI PRESCHOOL & K,39,38,97,0,0,0,0,1,3,38,97,38,97,38,97,38,97,38,97,38,97,Y
010210079,ALAMEDA,PRIVATE,HAYWARD,ELMHURST DAY CARE AND PRESCHOOL,46,44,96,2,4,0,0,0,0,46,100,46,100,46,100,46,100,44,96,46,100,Y
010213812,ALAMEDA,PUBLIC,EMERYVILLE,EMERYVILLE CHILD DEVELOPMENT CENTER,85,52,61,32,38,0,0,1,1,65,76,75,88,71,84,78,92,69,81,74,87,Y
000119933,ALAMEDA,PUBLIC,EMERYVILLE,EMERYVILLE PRESCHOOL STUDENTS, ,,,,,,,,,,,,,,,,,,,,,N
013420964,ALAMEDA,HEAD START,EMERYVILLE,EMERYVILLE YMCA HEAD START - RALPH HAWLEY CENTER,40,37,93,2,5,0,0,1,3,38,95,38,95,38,95,39,98,38,95,38,95,Y
013420938,ALAMEDA,PRIVATE,FREMONT,EMPIRE MONTESSORI PRESCHOOL,65,65,100,0,0,0,0,0,0,65,100,65,100,65,100,65,100,65,100,65,100,Y
013420918,ALAMEDA,PRIVATE,FREMONT,ENLIGHT PRESCHOOL,39,39,100,0,0,0,0,0,0,39,100,39,100,39,100,39,100,39,100,39,100,Y
013418191,ALAMEDA,PRIVATE,OAKLAND,ESCUELA BILINGUE INTERNACIONAL,90,81,90,7,8,0,0,2,2,86,96,85,94,86,96,88,98,81,90,83,92,Y
013418188,ALAMEDA,PRIVATE,HAYWARD,EYES ON YOU DAY CARE CENTER,42,34,81,7,17,0,0,1,2,37,88,40,95,42,100,42,100,41,98,42,100,Y
013419479,ALAMEDA,PRIVATE,OAKLAND,FAMILY BRIDGES LAKE MERRITT CHILD CARE CENTER,85,85,100,0,0,0,0,0,0,85,100,85,100,85,100,85,100,85,100,85,100,Y
010205961,ALAMEDA,PRIVATE,CASTRO VALLEY,FIRST BAPTIST PRESCHOOL - A KIDS KINGDOM,52,49,94,0,0,0,0,3,6,49,94,49,94,49,94,50,96,49,94,49,94,Y
010201132,ALAMEDA,PRIVATE,OAKLAND,FIRST COVENANT TREEHOUSE PRESCHOOL,125,115,92,0,0,6,5,4,3,122,98,117,94,119,95,124,99,116,93,121,97,Y
013417785,ALAMEDA,PRIVATE,LIVERMORE,FOUNTAINHEAD MONTESSORI SCHOOL,50,42,84,0,0,0,0,8,16,43,86,45,90,45,90,45,90,44,88,44,88,Y
013418196,ALAMEDA,PRIVATE,DUBLIN,FOUNTAINHEAD MONTESSORI SCHOOL - DUBLIN,210,194,92,0,0,0,0,16,8,204,97,202,96,198,94,205,98,198,94,199,95,Y
013419460,ALAMEDA,PUBLIC,LIVERMORE,FREE TO BE ME CHILD CARE,15,3,20,12,80,0,0,0,0,3,20,15,100,11,73,15,100,5,33,15,100,Y
010214913,ALAMEDA,PRIVATE,UNION CITY,FREE TO BE PRE-SCHOOL,37,37,100,0,0,0,0,0,0,37,100,37,100,37,100,37,100,37,100,37,100,Y
010212589,ALAMEDA,PRIVATE,FREMONT,FREMONT CHRISTIAN PRESCHOOL,136,135,99,0,0,0,0,1,1,136,100,136,100,136,100,136,100,136,100,135,99,Y
010200219,ALAMEDA,PRIVATE,FREMONT,FREMONT CONGREGATIONAL NURSERY SCHOOL,15,15,100,0,0,0,0,0,0,15,100,15,100,15,100,15,100,15,100,15,100,Y
013417033,ALAMEDA,PRIVATE,FREMONT,FREMONT PARENTS NURSERY SCHOOL,36,29,81,4,11,0,0,3,8,34,94,33,92,32,89,35,97,32,89,31,86,Y
013416472,ALAMEDA,PUBLIC,FREMONT,FUSD - ALVIRDA HYMAN LEARNING CENTER,66,66,100,0,0,0,0,0,0,66,100,66,100,66,100,66,100,66,100,66,100,Y
013419441,ALAMEDA,PUBLIC,FREMONT,FUSD - BRIER STATE PRESCHOOL,48,47,98,1,2,0,0,0,0,48,100,48,100,48,100,48,100,48,100,47,98,Y
010214464,ALAMEDA,PUBLIC,FREMONT,FUSD - CABRILLO STATE PRESCHOOL,49,49,100,0,0,0,0,0,0,49,100,49,100,49,100,49,100,49,100,49,100,Y
010214465,ALAMEDA,PUBLIC,FREMONT,FUSD - DURHAM STATE PRESCHOOL,52,52,100,0,0,0,0,0,0,52,100,52,100,52,100,52,100,52,100,52,100,Y
013415472,ALAMEDA,PUBLIC,FREMONT,FUSD - GRIMMER STATE PRESCHOOL,24,23,96,1,4,0,0,0,0,23,96,24,100,24,100,24,100,24,100,24,100,Y
013418175,ALAMEDA,PRIVATE,ALAMEDA,FUZZY CATERPILLAR,75,71,95,2,3,0,0,2,3,75,100,74,99,74,99,75,100,74,99,73,97,Y
010205169,ALAMEDA,PRIVATE,OAKLAND,GAN AVRAHAM NURSERY SCHOOL,42,41,98,0,0,0,0,1,2,42,100,41,98,42,100,42,100,41,98,41,98,Y
010210219,ALAMEDA,PRIVATE,OAKLAND,GAN MAH TOV PRESCHOOL,29,20,69,9,31,0,0,0,0,22,76,26,90,27,93,27,93,22,76,24,83,Y
010213705,ALAMEDA,PRIVATE,FREMONT,GAN SAMEACH NURSERY SCHOOL,15,12,80,1,7,1,7,1,7,14,93,14,93,13,87,14,93,12,80,13,87,Y
013421332,ALAMEDA,UNKNOWN,NEWARK,GENIUS KIDS - NEWARK, ,,,,,,,,,,,,,,,,,,,,,N
013420928,ALAMEDA,PRIVATE,FREMONT,GENUIS KIDS - MISSION`,10,4,40,6,60,0,0,0,0,4,40,5,50,9,90,10,100,9,90,9,90,Y
013412010,ALAMEDA,PRIVATE,OAKLAND,GIGGLES,28,23,82,0,0,0,0,5,18,27,96,27,96,27,96,28,100,24,86,25,89,Y
000128298,ALAMEDA,PUBLIC,FREMONT,GLANKLER LEARNING CENTER,126,120,95,5,4,0,0,1,1,120,95,124,98,123,98,125,99,123,98,125,99,Y
010210313,ALAMEDA,PRIVATE,OAKLAND,GRACE CHILDREN'S ACADEMY,10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,10,100,Y
010210354,ALAMEDA,PRIVATE,OAKLAND,GRAND LAKE MONTESSORI,131,107,82,1,1,0,0,23,18,125,95,120,92,126,96,127,97,114,87,117,89,Y
000115618,ALAMEDA,PUBLIC,OAKLAND,GREENLEAF ELEMENTARY, ,,,,,,,,,,,,,,,,,,,,,N
013415884,ALAMEDA,PRIVATE,OAKLAND,GROWING LIGHT MONTESSORI SCHOOL OF OAKLAND,67,65,97,0,0,0,0,2,3,66,99,66,99,67,100,66,99,65,97,66,99,Y
